dataset,domain,model,accuracy,auc,brier,log_loss,calibration_error,pred_positive_rate,true_positive_rate
bace,molecular,rf,0.8184818481848185,0.9000753145489987,0.13353639884445664,0.4283530519575486,0.10703084845225566,0.42574257425742573,0.43564356435643564
bbbp,molecular,rf,0.8151898734177215,0.8159562841530054,0.13156858625737616,0.41415278835020153,0.13219134201323324,0.9316455696202531,0.7721518987341772
clintox,molecular,rf,0.95578231292517,0.7771694497673145,0.036326141893952356,0.15200493842239657,0.21672588484293698,1.0,0.95578231292517
esol,molecular,rf,0.8250950570342205,0.9121025760037131,0.12816389030250097,0.4025262011935021,0.10256311047763629,0.5627376425855514,0.4714828897338403
adult,tabular,lr,0.8521703521703522,0.9063633247618534,0.10114695867144906,0.3163706722885754,0.019317569888002567,0.19748157248157247,0.23474610974610974
compas,tabular,lr,0.979740680713128,0.9981957778567948,0.015102887896363826,0.050878752420701966,0.09338470691277631,0.4878444084278768,0.4740680713128039
bank,tabular,lr,0.9139249726842297,0.9364023907625856,0.05988694063732093,0.19828521531861637,0.07755834195843672,0.06980696855651329,0.10659220590020639
german_credit,tabular,lr,0.73,0.781692789968652,0.16657950947788286,0.5020007232332164,0.14947787760885486,0.245,0.275
imdb,text,lr,0.8605,0.944635625,0.10345726284485002,0.33900842864391245,0.11464270560928025,0.5385,0.6
yelp,text,lr,0.855022926219258,0.9276159114159731,0.10602108672746863,0.34184521645210864,0.04181023527889242,0.35414756148395166,0.3842434347644852
civil_comments,text,lr,0.4927463731865933,0.49899849849849853,0.2500827100288071,0.6933126051524342,0.01314515223781404,0.6664999166249792,0.49974987493746875
amazon,text,lr,0.5991997332444148,0.49120587834966206,0.2403044906942319,0.673634901388431,0.009417555494017071,0.0,0.4008002667555852
