n_certified,n_tests,cert_rate,mean_neff,median_neff,n_cohorts,dataset,threshold_name,threshold_value,pos_rate
4,30,0.13333333333333333,121.89500386385865,121.89500386385865,6,esol,median,-2.68,0.4714828897338403
5,30,0.16666666666666666,212.67574665376173,212.67574665376173,6,esol,Q1,-4.36,0.8250950570342205
1,30,0.03333333333333333,34.645051993309146,34.645051993309146,6,esol,Q3,-1.3,0.13307984790874525
4,30,0.13333333333333333,141.60670911677983,141.60670911677983,6,esol,clinical (Poor solubility cutoff),-3.0,0.5475285171102662
2,15,0.13333333333333333,49.304039604719385,49.304039604719385,3,freesolv,median,-2.92,0.3246753246753247
3,15,0.2,63.49360604370644,63.49360604370644,3,freesolv,Q1,-4.5,0.43506493506493504
0,15,0.0,10.633593612152072,10.633593612152072,3,freesolv,Q3,-0.64,0.07142857142857142
3,15,0.2,71.40705001054546,71.40705001054546,3,freesolv,clinical (Favorable binding),-5.0,0.487012987012987
0,2295,0.0,3.7109904372560725,2.9956124327166416,459,lipophilicity,median,2.43,0.47023809523809523
0,2295,0.0,3.878582424319478,2.9916239847649777,459,lipophilicity,Q1,1.49,0.7226190476190476
0,2295,0.0,3.237407058437607,2.994795047241012,459,lipophilicity,Q3,3.14,0.24285714285714285
0,2295,0.0,3.412446177504995,2.991942733233568,459,lipophilicity,clinical (Lipinski Rule-of-5),3.0,0.28809523809523807
