method,dataset,tau,n_certify,n_total,cert_rate,weight_time,bound_time
KLIEP,bace,0.5,1,127,0.007874015748031496,0.0892951488494873,0.01611161231994629
KLIEP,bace,0.6,1,127,0.007874015748031496,0.0892951488494873,0.01611161231994629
KLIEP,bace,0.7,0,127,0.0,0.0892951488494873,0.01611161231994629
KLIEP,bace,0.8,0,127,0.0,0.0892951488494873,0.01611161231994629
KLIEP,bace,0.85,0,127,0.0,0.0892951488494873,0.01611161231994629
KLIEP,bace,0.9,0,127,0.0,0.0892951488494873,0.01611161231994629
uLSIF,bace,0.5,1,127,0.007874015748031496,0.013323068618774414,0.016501426696777344
uLSIF,bace,0.6,1,127,0.007874015748031496,0.013323068618774414,0.016501426696777344
uLSIF,bace,0.7,0,127,0.0,0.013323068618774414,0.016501426696777344
uLSIF,bace,0.8,0,127,0.0,0.013323068618774414,0.016501426696777344
uLSIF,bace,0.85,0,127,0.0,0.013323068618774414,0.016501426696777344
uLSIF,bace,0.9,0,127,0.0,0.013323068618774414,0.016501426696777344
