dataset,domain,method,cert_rate_%,mean_mu_hat,mean_lower_bound,mean_n_eff,total_runtime_sec,n_cohorts
adult,tabular,kliep,2.38,0.72,0.19,38.48,288.15,49
adult,tabular,ulsif,2.04,0.71,0.18,37.32,203.27,49
amazon,text,kliep,100.0,1.0,0.99,801.33,1.59,3
amazon,text,ulsif,100.0,1.0,0.99,801.33,12.53,3
bace,molecular,kliep,0.26,0.74,0.08,0.61,121.23,127
bace,molecular,ulsif,0.26,0.74,0.08,0.61,15.72,127
bank,tabular,kliep,0.0,0.66,0.29,55.99,277.53,10
bank,tabular,ulsif,0.0,0.65,0.27,53.51,27.33,10
bbbp,molecular,kliep,0.52,0.84,0.42,1.71,95.06,127
bbbp,molecular,ulsif,0.52,0.84,0.43,1.79,18.81,127
civil_comments,text,kliep,100.0,1.0,0.99,599.4,1.93,5
civil_comments,text,ulsif,100.0,1.0,0.99,599.4,8.11,5
clintox,molecular,kliep,0.76,0.99,0.29,1.4,108.55,110
clintox,molecular,ulsif,0.76,0.99,0.29,1.4,9.89,110
compas,tabular,kliep,7.46,0.96,0.3,15.28,8102.34,38
compas,tabular,ulsif,7.46,0.96,0.3,15.17,6446.71,38
diabetes,tabular,kliep,0.0,1.0,0.15,11.46,8.05,4
diabetes,tabular,ulsif,0.0,1.0,0.15,11.48,0.3,4
german_credit,tabular,kliep,0.0,0.42,0.0,2.3,87.66,14
german_credit,tabular,ulsif,0.0,0.42,0.0,2.32,1.13,14
heart_disease,tabular,kliep,0.0,1.0,0.04,3.07,18.68,8
heart_disease,tabular,ulsif,0.0,1.0,0.04,3.1,0.25,8
imdb,text,kliep,60.0,0.6,0.59,538.46,450.85,10
imdb,text,ulsif,60.0,0.6,0.59,538.44,476.16,10
sider,molecular,kliep,0.49,1.0,0.41,0.41,101.03,135
sider,molecular,ulsif,0.49,1.0,0.41,0.41,15.69,135
twitter,text,kliep,100.0,1.0,0.97,298.3,5.04,10
twitter,text,ulsif,100.0,1.0,0.97,298.29,18.32,10
yelp,text,kliep,51.67,0.84,0.77,424.73,935.26,10
yelp,text,ulsif,51.67,0.84,0.77,424.79,534.49,10
