dataset,domain,method,cert_rate_%,mean_mu_hat,mean_lower_bound,mean_n_eff,total_runtime_sec,n_cohorts
adult,tabular,kliep,2.86,0.72,0.19,38.48,126.33,49
adult,tabular,ravel,2.04,0.75,0.21,58.45,501.39,49
adult,tabular,ulsif,2.45,0.71,0.18,37.32,51.86,49
amazon,text,kliep,100.0,1.0,0.99,801.33,0.79,3
amazon,text,ravel,100.0,1.0,0.99,801.32,3.83,3
amazon,text,ulsif,100.0,1.0,0.99,801.33,0.65,3
bace,molecular,kliep,0.31,0.74,0.08,0.61,66.22,127
bace,molecular,ravel,0.16,0.74,0.13,2.52,172.03,127
bace,molecular,ulsif,0.31,0.74,0.08,0.61,11.7,127
bank,tabular,kliep,0.0,0.66,0.29,55.99,12.51,10
bank,tabular,ravel,0.0,0.66,0.3,57.49,57.13,10
bank,tabular,ulsif,0.0,0.65,0.27,53.51,11.36,10
bbbp,molecular,kliep,0.63,0.84,0.42,1.71,63.15,127
bbbp,molecular,ravel,0.63,0.81,0.43,3.31,211.27,127
bbbp,molecular,ulsif,0.63,0.84,0.43,1.79,14.92,127
civil_comments,text,kliep,100.0,1.0,0.99,599.4,1.27,5
civil_comments,text,ravel,100.0,1.0,0.99,599.39,4.94,5
civil_comments,text,ulsif,100.0,1.0,0.99,599.4,0.85,5
clintox,molecular,kliep,0.73,0.99,0.29,1.4,74.37,110
clintox,molecular,ravel,0.73,0.92,0.45,2.64,132.75,110
clintox,molecular,ulsif,0.73,0.99,0.29,1.4,10.7,110
compas,tabular,kliep,8.42,0.96,0.3,15.28,4339.67,38
compas,tabular,ravel,4.74,0.92,0.41,17.68,19385.71,38
compas,tabular,ulsif,8.42,0.96,0.3,15.17,4215.87,38
diabetes,tabular,kliep,0.0,1.0,0.15,11.46,2.1,4
diabetes,tabular,ravel,0.0,1.0,0.17,11.94,1.18,4
diabetes,tabular,ulsif,0.0,1.0,0.15,11.48,0.16,4
esol,molecular,kliep,6.67,0.77,0.61,23.97,1.86,6
esol,molecular,ulsif,6.67,0.76,0.61,24.39,0.28,6
freesolv,molecular,kliep,26.67,1.0,0.82,16.35,1.47,3
freesolv,molecular,ulsif,26.67,1.0,0.82,16.43,0.08,3
german_credit,tabular,kliep,0.0,0.42,0.0,2.3,5.88,14
german_credit,tabular,ravel,0.0,0.56,0.0,4.44,5.07,14
german_credit,tabular,ulsif,0.0,0.42,0.0,2.32,0.81,14
heart_disease,tabular,kliep,0.0,1.0,0.04,3.07,0.86,8
heart_disease,tabular,ravel,0.0,1.0,0.05,5.98,2.15,8
heart_disease,tabular,ulsif,0.0,1.0,0.04,3.1,0.11,8
imdb,text,kliep,60.0,0.6,0.59,538.46,282.17,10
imdb,text,ravel,60.0,0.6,0.59,538.37,1751.31,10
imdb,text,ulsif,60.0,0.6,0.59,538.44,295.78,10
lipophilicity,molecular,kliep,0.04,1.0,0.05,0.18,506.73,459
lipophilicity,molecular,ravel,0.0,1.0,0.08,1.57,1797.89,459
lipophilicity,molecular,ulsif,0.04,1.0,0.05,0.18,211.06,459
sider,molecular,kliep,0.59,1.0,0.41,0.41,67.18,135
sider,molecular,ravel,0.59,1.0,0.82,1.88,212.46,135
sider,molecular,ulsif,0.59,1.0,0.41,0.41,10.53,135
tox21,molecular,kliep,0.38,1.0,0.58,0.4,41.9,53
tox21,molecular,ulsif,0.75,1.0,0.6,0.43,26.07,53
toxcast,molecular,kliep,3.81,1.0,0.89,3.63,7.66,21
toxcast,molecular,ulsif,3.81,1.0,0.9,4.05,1.74,21
twitter,text,kliep,100.0,1.0,0.97,298.3,2.78,10
twitter,text,ravel,100.0,1.0,0.97,298.29,10.73,10
twitter,text,ulsif,100.0,1.0,0.97,298.29,1.88,10
yelp,text,kliep,62.0,0.84,0.77,424.73,299.12,10
yelp,text,ravel,60.0,0.84,0.77,424.53,1918.32,10
yelp,text,ulsif,62.0,0.84,0.77,424.79,305.91,10
