dataset,domain,method,cert_rate,mean_n_eff,n_cohorts
adult,tabular,kliep,2.857142857142857,38.481349707728896,49
adult,tabular,ravel,2.0408163265306123,58.44927059088337,49
adult,tabular,ulsif,2.4489795918367347,37.316556722739385,49
bace,molecular,kliep,0.31496062992125984,0.6055019568028582,127
bace,molecular,ravel,0.15748031496062992,2.5160989515359398,127
bace,molecular,ulsif,0.31496062992125984,0.6055221957189554,127
bank,tabular,kliep,0.0,55.988933005480604,10
bank,tabular,ravel,0.0,57.489902016859176,10
bank,tabular,ulsif,0.0,53.51383938742529,10
bbbp,molecular,kliep,0.6299212598425197,1.707758270911515,127
bbbp,molecular,ravel,0.6299212598425197,3.309338324702104,127
bbbp,molecular,ulsif,0.6299212598425197,1.7914270472428402,127
clintox,molecular,kliep,0.7272727272727273,1.4012143526291017,110
clintox,molecular,ravel,0.7272727272727273,2.6394549796440914,110
clintox,molecular,ulsif,0.7272727272727273,1.4031252754782828,110
compas,tabular,kliep,8.421052631578947,15.282637151830535,38
compas,tabular,ravel,4.736842105263158,17.68107403298285,38
compas,tabular,ulsif,8.421052631578947,15.1659932575547,38
esol,molecular,kliep,6.666666666666667,23.973523419119886,6
esol,molecular,ulsif,6.666666666666667,24.38699814939154,6
german_credit,tabular,kliep,0.0,2.296998405770197,14
german_credit,tabular,ravel,0.0,4.4430051213589286,14
german_credit,tabular,ulsif,0.0,2.3249450438784027,14
imdb,text,kliep,60.0,538.4561163519209,10
imdb,text,ravel,60.0,538.371626316794,10
imdb,text,ulsif,60.0,538.43911521654,10
yelp,text,kliep,62.0,424.7349214372861,10
yelp,text,ravel,60.0,424.53253788599613,10
yelp,text,ulsif,62.0,424.7929791365906,10
