dataset,domain,method,cert_rate_%,mean_mu_hat,mean_lower_bound,mean_n_eff,runtime_sec,n_cohorts
adult,tabular,bbse,2.86,0.73,0.19,38.79,0.28,49
adult,tabular,cvplus,2.86,0.71,0.19,38.28,1.85,49
adult,tabular,kliep,2.86,0.72,0.19,38.48,0.88,49
adult,tabular,ravel,2.04,0.75,0.21,58.45,2.73,49
adult,tabular,rulsif,2.45,0.71,0.18,37.32,0.4,49
adult,tabular,split_conformal,8.16,0.73,0.5,38.8,0.19,49
adult,tabular,ulsif,2.45,0.71,0.18,37.32,0.28,49
adult,tabular,weighted_conformal,23.27,0.71,0.73,37.32,0.65,49
ag_news,text,bbse,25.0,0.25,0.25,1481.25,5.57,4
ag_news,text,cvplus,25.0,0.25,0.25,1256.07,67.5,4
ag_news,text,kliep,25.0,0.25,0.25,1481.24,14.89,4
ag_news,text,ravel,25.0,0.25,0.25,1481.21,88.41,4
ag_news,text,rulsif,25.0,0.25,0.25,1481.24,23.53,4
ag_news,text,split_conformal,25.0,0.25,0.25,1481.25,0.02,4
ag_news,text,ulsif,25.0,0.25,0.25,1481.24,16.22,4
ag_news,text,weighted_conformal,25.0,0.25,0.25,1481.24,21.99,4
amazon,text,bbse,0.0,,,0.0,0.02,3
amazon,text,cvplus,0.0,,,0.0,0.08,3
amazon,text,kliep,0.0,,,0.0,0.09,3
amazon,text,ravel,0.0,,,,0.42,3
amazon,text,rulsif,0.0,,,0.0,0.13,3
amazon,text,split_conformal,0.0,,,0.0,0.01,3
amazon,text,ulsif,0.0,,,0.0,0.07,3
amazon,text,weighted_conformal,0.0,,,0.0,0.09,3
bace,molecular,bbse,0.32,0.72,0.08,0.61,0.06,126
bace,molecular,cvplus,0.0,0.65,0.04,0.28,0.39,126
bace,molecular,group_dro,0.32,0.74,0.08,0.61,1.3,126
bace,molecular,kliep,0.32,0.74,0.08,0.61,0.26,126
bace,molecular,kmm,0.16,0.69,0.07,0.39,3.82,126
bace,molecular,ravel,0.16,0.74,0.13,2.51,0.38,126
bace,molecular,rulsif,0.32,0.74,0.08,0.61,0.07,126
bace,molecular,split_conformal,1.27,0.74,0.41,0.61,0.04,126
bace,molecular,ulsif,0.32,0.74,0.08,0.61,0.08,126
bace,molecular,weighted_conformal,3.65,0.74,0.74,0.61,0.08,126
bank,tabular,bbse,0.0,0.67,0.31,57.49,0.09,10
bank,tabular,cvplus,0.0,0.66,0.3,56.54,0.58,10
bank,tabular,kliep,0.0,0.66,0.29,55.99,0.44,10
bank,tabular,ravel,0.0,0.66,0.3,57.49,1.9,10
bank,tabular,rulsif,0.0,0.65,0.27,53.53,0.48,10
bank,tabular,split_conformal,16.0,0.66,0.54,57.5,0.04,10
bank,tabular,ulsif,0.0,0.65,0.27,53.51,0.23,10
bank,tabular,weighted_conformal,46.0,0.65,0.67,53.51,0.33,10
bbbp,molecular,bbse,0.63,0.82,0.42,1.81,0.06,127
bbbp,molecular,cvplus,0.0,0.68,0.0,0.13,0.34,127
bbbp,molecular,group_dro,0.63,0.84,0.43,1.82,1.81,127
bbbp,molecular,kliep,0.63,0.84,0.42,1.72,0.28,127
bbbp,molecular,kmm,0.0,0.76,0.11,0.34,10.76,127
bbbp,molecular,ravel,0.63,0.81,0.43,3.31,0.45,127
bbbp,molecular,rulsif,0.63,0.84,0.43,1.79,0.1,127
bbbp,molecular,split_conformal,1.1,0.84,0.68,1.82,0.02,127
bbbp,molecular,ulsif,0.63,0.84,0.43,1.79,0.08,127
bbbp,molecular,weighted_conformal,1.89,0.84,0.87,1.79,0.07,127
civil_comments,text,bbse,0.0,0.49,0.44,799.4,0.03,5
civil_comments,text,cvplus,0.0,0.49,0.44,799.3,0.07,5
civil_comments,text,kliep,0.0,0.49,0.44,799.4,0.07,5
civil_comments,text,ravel,0.0,0.49,0.44,799.39,0.39,5
civil_comments,text,rulsif,0.0,0.49,0.44,799.4,0.13,5
civil_comments,text,split_conformal,0.0,0.49,0.46,799.4,0.02,5
civil_comments,text,ulsif,0.0,0.49,0.44,799.4,0.1,5
civil_comments,text,weighted_conformal,20.0,0.49,0.52,799.4,0.11,5
clintox,molecular,bbse,0.91,1.0,0.31,1.39,0.03,110
