method,domain,cert_rate_%,mean_mu_hat,mean_lower_bound,mean_n_eff,mean_runtime_sec,n_datasets
bbse,molecular,0.06,0.87,0.2,0.15,14.48,15
bbse,tabular,12.82,0.83,0.35,34.96,0.4,12
bbse,text,36.1,0.62,0.55,438.0,1.11,11
cvplus,molecular,0.0,0.87,0.04,0.03,32.39,15
cvplus,tabular,10.94,0.82,0.3,31.85,10.63,12
cvplus,text,35.61,0.62,0.55,363.37,14.74,11
group_dro,molecular,0.58,0.89,0.22,1.39,3.77,12
group_dro,tabular,10.57,0.85,0.31,23.74,0.54,9
group_dro,text,47.78,0.81,0.69,223.22,0.35,3
kliep,molecular,0.06,0.87,0.2,0.15,12.22,15
kliep,tabular,12.49,0.82,0.35,34.3,7.71,12
kliep,text,36.34,0.62,0.56,437.65,5.97,11
kmm,molecular,0.18,0.86,0.12,0.36,48.57,9
kmm,tabular,2.17,0.78,0.14,6.38,1.96,5
ravel,molecular,0.04,0.78,0.26,3.53,32.57,12
ravel,tabular,10.06,0.79,0.39,41.78,10.79,12
ravel,text,35.37,0.58,0.56,460.51,30.83,11
rulsif,molecular,0.06,0.87,0.2,0.15,16.19,15
rulsif,tabular,12.15,0.82,0.34,33.63,11.05,12
rulsif,text,36.34,0.62,0.56,437.66,7.85,11
split_conformal,molecular,0.19,0.87,0.6,0.15,14.15,15
split_conformal,tabular,25.3,0.82,0.64,34.97,0.08,12
split_conformal,text,40.73,0.62,0.59,438.01,0.03,11
ulsif,molecular,0.06,0.87,0.2,0.15,10.17,15
ulsif,tabular,12.15,0.82,0.34,33.62,8.54,12
ulsif,text,36.34,0.62,0.56,437.66,5.67,11
weighted_conformal,molecular,0.39,0.87,0.87,0.15,14.38,15
weighted_conformal,tabular,41.66,0.82,0.83,33.62,10.02,12
weighted_conformal,text,49.02,0.62,0.64,437.66,7.43,11
