domain,method,elapsed_sec
molecular,bbse,14.476
molecular,cvplus,32.389
molecular,group_dro,3.773
molecular,kliep,12.217
molecular,kmm,48.573
molecular,ravel,32.575
molecular,rulsif,16.195
molecular,split_conformal,14.149
molecular,ulsif,10.165
molecular,weighted_conformal,14.379
tabular,bbse,0.396
tabular,cvplus,10.626
tabular,group_dro,0.545
tabular,kliep,7.712
tabular,kmm,1.961
tabular,ravel,10.795
tabular,rulsif,11.054
tabular,split_conformal,0.08
tabular,ulsif,8.544
tabular,weighted_conformal,10.023
text,bbse,1.114
text,cvplus,14.744
text,group_dro,0.35
text,kliep,5.975
text,ravel,30.829
text,rulsif,7.855
text,split_conformal,0.026
text,ulsif,5.674
text,weighted_conformal,7.43
