domain,method,cert_rate_%,mean_mu_hat,mean_lower_bound,mean_n_eff,mean_runtime_sec,n_datasets,n_cohorts
molecular,bbse,0.06,0.87,0.2,0.15,14.48,15,10552
molecular,cvplus,0.0,0.87,0.04,0.03,32.39,15,10552
molecular,group_dro,0.58,0.89,0.22,1.39,3.77,12,930
molecular,kliep,0.06,0.87,0.2,0.15,12.22,15,10552
molecular,kmm,0.18,0.86,0.12,0.36,48.57,9,869
molecular,ravel,0.04,0.78,0.26,3.53,32.57,12,10518
molecular,rulsif,0.06,0.87,0.2,0.15,16.19,15,10552
molecular,split_conformal,0.19,0.87,0.6,0.15,14.15,15,10552
molecular,ulsif,0.06,0.87,0.2,0.15,10.17,15,10552
molecular,weighted_conformal,0.39,0.87,0.87,0.15,14.38,15,10552
tabular,bbse,12.82,0.83,0.35,34.96,0.4,12,175
tabular,cvplus,10.94,0.82,0.3,31.85,10.63,12,175
tabular,group_dro,10.57,0.85,0.31,23.74,0.54,9,106
tabular,kliep,12.49,0.82,0.35,34.3,7.71,12,175
tabular,kmm,2.17,0.78,0.14,6.38,1.96,5,46
tabular,ravel,10.06,0.79,0.39,41.78,10.79,12,175
tabular,rulsif,12.15,0.82,0.34,33.63,11.05,12,175
tabular,split_conformal,25.3,0.82,0.64,34.97,0.08,12,175
tabular,ulsif,12.15,0.82,0.34,33.62,8.54,12,175
tabular,weighted_conformal,41.66,0.82,0.83,33.62,10.02,12,175
text,bbse,36.1,0.62,0.55,438.0,1.11,11,67
text,cvplus,35.61,0.62,0.55,363.37,14.74,11,67
text,group_dro,47.78,0.81,0.69,223.22,0.35,3,18
text,kliep,36.34,0.62,0.56,437.65,5.97,11,67
text,ravel,35.37,0.58,0.56,460.51,30.83,11,67
text,rulsif,36.34,0.62,0.56,437.66,7.85,11,67
text,split_conformal,40.73,0.62,0.59,438.01,0.03,11,67
text,ulsif,36.34,0.62,0.56,437.66,5.67,11,67
text,weighted_conformal,49.02,0.62,0.64,437.66,7.43,11,67
