dataset,alpha,active_pairs,n_disagree,agree_pct,mean_lb_gap,mean_neff_ratio,mean_mu_gap
adult,0.001,0,0,100.0,0.0032080299087611525,0.9919097013028719,0.00681200820462774
adult,0.005,0,0,100.0,0.0032080299087611525,0.9919097013028719,0.00681200820462774
adult,0.01,0,0,100.0,0.0032080299087611525,0.9919097013028719,0.00681200820462774
adult,0.05,0,0,100.0,0.0032080299087611525,0.9919097013028719,0.00681200820462774
adult,0.1,0,0,100.0,0.0032080299087611525,0.9919097013028719,0.00681200820462774
adult,0.2,0,0,100.0,0.0032080299087611525,0.9919097013028719,0.00681200820462774
bace,0.001,0,0,100.0,0.012051229982143492,1.02276005975202,0.015081949480373138
bace,0.005,0,0,100.0,0.012051229982143492,1.02276005975202,0.015081949480373138
bace,0.01,0,0,100.0,0.012051229982143492,1.02276005975202,0.015081949480373138
bace,0.05,0,0,100.0,0.012051229982143492,1.02276005975202,0.015081949480373138
bace,0.1,0,0,100.0,0.012051229982143492,1.02276005975202,0.015081949480373138
bace,0.2,0,0,100.0,0.012051229982143492,1.02276005975202,0.015081949480373138
bbbp,0.001,181,41,77.34806629834254,0.02672788383839378,1.0049513899760738,0.023705002377652905
bbbp,0.005,226,58,74.33628318584071,0.02672788383839378,1.0049513899760738,0.023705002377652905
bbbp,0.01,243,56,76.95473251028807,0.02672788383839378,1.0049513899760738,0.023705002377652905
bbbp,0.05,276,32,88.40579710144928,0.02672788383839378,1.0049513899760738,0.023705002377652905
bbbp,0.1,297,44,85.18518518518519,0.02672788383839378,1.0049513899760738,0.023705002377652905
bbbp,0.2,314,44,85.98726114649682,0.02672788383839378,1.0049513899760738,0.023705002377652905
compas,0.001,0,0,100.0,0.010315503074820626,0.9979078932829839,0.012618535817826036
compas,0.005,0,0,100.0,0.010315503074820626,0.9979078932829839,0.012618535817826036
compas,0.01,0,0,100.0,0.010315503074820626,0.9979078932829839,0.012618535817826036
compas,0.05,0,0,100.0,0.010315503074820626,0.9979078932829839,0.012618535817826036
compas,0.1,0,0,100.0,0.010315503074820626,0.9979078932829839,0.012618535817826036
compas,0.2,0,0,100.0,0.010315503074820626,0.9979078932829839,0.012618535817826036
imdb,0.001,134,0,100.0,0.00017580032634175754,0.9999904032866649,0.00020245152156630247
imdb,0.005,163,0,100.0,0.00017580032634175754,0.9999904032866649,0.00020245152156630247
imdb,0.01,164,0,100.0,0.00017580032634175754,0.9999904032866649,0.00020245152156630247
imdb,0.05,175,0,100.0,0.00017580032634175754,0.9999904032866649,0.00020245152156630247
imdb,0.1,177,0,100.0,0.00017580032634175754,0.9999904032866649,0.00020245152156630247
imdb,0.2,178,0,100.0,0.00017580032634175754,0.9999904032866649,0.00020245152156630247
yelp,0.001,0,0,100.0,0.00043965380531994796,1.000144310901659,0.0004476151631294391
yelp,0.005,0,0,100.0,0.00043965380531994796,1.000144310901659,0.0004476151631294391
yelp,0.01,0,0,100.0,0.00043965380531994796,1.000144310901659,0.0004476151631294391
yelp,0.05,0,0,100.0,0.00043965380531994796,1.000144310901659,0.0004476151631294391
yelp,0.1,0,0,100.0,0.00043965380531994796,1.000144310901659,0.0004476151631294391
yelp,0.2,0,0,100.0,0.00043965380531994796,1.000144310901659,0.0004476151631294391
