cfg,n_tau,dataset,active,n_disagree,agree_pct
coarse_5,5,adult,0,0,100.0
coarse_5,5,bace,0,0,100.0
coarse_5,5,bbbp,276,32,88.40579710144928
coarse_5,5,compas,0,0,100.0
coarse_5,5,imdb,175,0,100.0
coarse_5,5,yelp,0,0,100.0
high_only,2,adult,0,0,100.0
high_only,2,bace,0,0,100.0
high_only,2,bbbp,0,0,100.0
high_only,2,compas,0,0,100.0
high_only,2,imdb,60,0,100.0
high_only,2,yelp,0,0,100.0
low_only,2,adult,0,0,100.0
low_only,2,bace,0,0,100.0
low_only,2,bbbp,289,20,93.07958477508652
low_only,2,compas,0,0,100.0
low_only,2,imdb,87,0,100.0
low_only,2,yelp,0,0,100.0
medium_3,3,adult,0,0,100.0
medium_3,3,bace,0,0,100.0
medium_3,3,bbbp,177,19,89.26553672316385
medium_3,3,compas,0,0,100.0
medium_3,3,imdb,116,0,100.0
medium_3,3,yelp,0,0,100.0
