dataset,margin_bin,n_pairs,n_disagree,n_active,disagree_rate
adult,<-0.2,685,0,0,0.0
adult,-0.2 to -0.1,49,0,0,0.0
adult,-0.1 to 0,15,0,0,0.0
adult,0 to 0.1,1,0,0,0.0
bace,<-0.2,438,0,0,0.0
bace,-0.2 to -0.1,147,0,0,0.0
bace,-0.1 to 0,111,0,0,0.0
bace,0 to 0.1,48,0,0,0.0
bace,0.1 to 0.2,6,0,0,0.0
bbbp,<-0.2,6,0,0,0.0
bbbp,-0.2 to -0.1,106,0,0,0.0
bbbp,-0.1 to 0,150,0,0,0.0
bbbp,0 to 0.1,150,0,0,0.0
bbbp,0.1 to 0.2,150,31,88,0.20666666666666667
bbbp,>0.2,188,1,188,0.005319148936170213
compas,<-0.2,487,0,0,0.0
compas,-0.2 to -0.1,136,0,0,0.0
compas,-0.1 to 0,92,0,0,0.0
compas,0 to 0.1,33,0,0,0.0
compas,0.1 to 0.2,2,0,0,0.0
imdb,<-0.2,472,0,0,0.0
imdb,-0.2 to -0.1,30,0,0,0.0
imdb,-0.1 to 0,30,0,0,0.0
imdb,0 to 0.1,60,0,30,0.0
imdb,0.1 to 0.2,60,0,47,0.0
imdb,>0.2,98,0,98,0.0
yelp,<-0.2,383,0,0,0.0
yelp,-0.2 to -0.1,119,0,0,0.0
yelp,-0.1 to 0,93,0,0,0.0
yelp,0 to 0.1,5,0,0,0.0
