dataset,domain,trial_id,cohort_id,tau,ulsif_certified,kliep_certified,ulsif_neff,kliep_neff,min_neff,ulsif_mu,kliep_mu,ulsif_lb,kliep_lb,margin
bbbp,molecular,11,3,0.6,True,False,320.4154906419095,315.9284781064113,315.9284781064113,0.754520523867484,0.7230660529745726,0.6620634444320453,0.6271351853457177,0.13879328842102834
bbbp,molecular,26,4,0.6,True,False,317.78664918230123,306.8859556488189,306.8859556488189,0.7729461295089138,0.7123355010206006,0.6817424429270634,0.6137794477305394,0.14264081526475725
bbbp,molecular,12,4,0.7,True,False,302.65477220811704,298.6773793364152,298.6773793364152,0.8412367760432597,0.8263876103092866,0.7554549405922784,0.7377414581292642,0.13381219317627324
bbbp,molecular,6,4,0.6,True,False,301.36490678080395,297.698738264223,297.698738264223,0.7500730023186197,0.7128431441903477,0.6534465018575191,0.6123679159537727,0.13145807325448378
bbbp,molecular,1,0,0.7,True,False,296.70233559245713,298.8248857941377,296.70233559245713,0.8474932957554396,0.8264902077547758,0.7615022721547194,0.7378871614750637,0.1369917517551078
bbbp,molecular,12,3,0.6,True,False,291.22438980982304,292.12959873306835,291.22438980982304,0.7565099795215466,0.7451465346909282,0.6583050267002226,0.6460898655513423,0.15082825710623748
bbbp,molecular,23,4,0.7,True,False,295.65513169239955,291.16089534835794,291.16089534835794,0.8428723789466405,0.8201559296997964,0.7559776155716202,0.7291457631515532,0.13151415432321856
bbbp,molecular,20,0,0.7,True,False,290.3809050206532,291.09528350899313,290.3809050206532,0.8425632642172259,0.8164511859032233,0.7545644651307054,0.7249387904835354,0.12950722506022472
bbbp,molecular,28,0,0.7,True,False,286.71800311568006,285.65457049298857,285.65457049298857,0.834976825684759,0.8064575449071779,0.7450980839912155,0.7125042722185162,0.12071718529596853
bbbp,molecular,13,4,0.6,True,False,286.619661459319,283.2122593932052,283.2122593932052,0.7584915639315445,0.7417749202764159,0.6594478925485313,0.640386427999072,0.15013324210398016
bbbp,molecular,26,0,0.7,True,False,281.8698564241487,282.4863535840518,281.8698564241487,0.8622491777527883,0.8234231067684513,0.7756479455549897,0.7310029726484153,0.1428361422606199
bbbp,molecular,22,0,0.7,True,False,281.3094909445226,281.7849374090942,281.3094909445226,0.8382043484793099,0.8096435307424267,0.7476461331212737,0.7152391176331461,0.12392393961086834
bbbp,molecular,4,3,0.6,True,False,281.3076786963085,279.87336847209104,279.87336847209104,0.7571311259600698,0.7269851646998671,0.6567311502702987,0.6235277922983147,0.1420581453299684
bbbp,molecular,24,3,0.6,True,False,282.54501575143127,278.1908903194021,278.1908903194021,0.7634623311413936,0.7301549695646702,0.6639772009346537,0.6265557743469702,0.14680865035303192
bbbp,molecular,25,0,0.7,True,False,279.05265152836046,276.7954776772484,276.7954776772484,0.8478994089791528,0.8067514243200519,0.7583409891139363,0.7108453475961404,0.1273254166496024
bbbp,molecular,27,0,0.7,True,False,276.6117790244384,278.36610336959245,276.6117790244384,0.8584683139455965,0.8311299922156538,0.7701049783772969,0.7388866555487716,0.1447991530806252
bbbp,molecular,24,0,0.7,True,False,273.4359768255963,273.51483660970564,273.4359768255963,0.8406752062673637,0.807192682599639,0.7487443691025217,0.7105777967582462,0.12393394443350148
bbbp,molecular,5,4,0.6,True,False,266.1936603358906,263.5886619219117,263.5886619219117,0.7570682022959938,0.7242501213512103,0.652946135329662,0.6164210012918021,0.14065916182360205
bbbp,molecular,6,0,0.7,True,False,263.4268948484198,265.29267812176704,263.4268948484198,0.8573005505305349,0.8351362248618398,0.7657441017604714,0.740455811519532,0.14621838769618734
bbbp,molecular,5,1,0.6,True,False,261.70544241966365,261.7321268058129,261.70544241966365,0.7654693542929899,0.7389190696326229,0.6610397939827191,0.6318810526876706,0.15219421196280647
