sigma,variant,fwer_rate,mean_cert_rate,mean_coverage,mean_ess_frac,n_trials
0.1,naive_clipped,0.05,0.4336,0.8796926798691505,0.9900616437165042,200
0.1,naive_ungated,0.05,0.4336,0.8796926798691505,0.9900616437165042,200
0.1,neff_ess_gated,0.05,0.43160000000000004,0.881425197351668,0.9900616437165042,200
0.1,neff_ungated,0.05,0.43160000000000004,0.881425197351668,0.9900616437165042,200
0.3,naive_clipped,0.045,0.43579999999999997,0.8757075538840244,0.9139480680044463,200
0.3,naive_ungated,0.045,0.4354,0.8769575538840244,0.9139480680044463,200
0.3,neff_ess_gated,0.045,0.41259999999999997,0.892514652014652,0.9139480680044463,200
0.3,neff_ungated,0.045,0.41259999999999997,0.892514652014652,0.9139480680044463,200
0.5,naive_clipped,0.05,0.43560000000000004,0.8772914560929267,0.7786664370084805,200
0.5,naive_ungated,0.05,0.43700000000000006,0.8763902739417445,0.7786664370084805,200
0.5,neff_ess_gated,0.025,0.3668,0.9107954822954822,0.7786664370084805,200
0.5,neff_ungated,0.025,0.3668,0.9107954822954822,0.7786664370084805,200
0.8,naive_clipped,0.055,0.4362,0.8640833574105633,0.5274170963065592,200
0.8,naive_ungated,0.05,0.4372,0.8546554544311897,0.5274170963065592,200
0.8,neff_ess_gated,0.0,0.2552,0.9546449781374404,0.5274170963065592,200
0.8,neff_ungated,0.0,0.2552,0.9546449781374404,0.5274170963065592,200
1.0,naive_clipped,0.055,0.43939999999999996,0.8557289295671648,0.370579926792893,200
1.0,naive_ungated,0.055,0.4374,0.8474852773860126,0.370579926792893,200
1.0,neff_ess_gated,0.0,0.156,0.9671992481203008,0.370579926792893,200
1.0,neff_ungated,0.0,0.156,0.9671992481203008,0.370579926792893,200
1.5,naive_clipped,0.085,0.4424,0.8148794220485397,0.12560954829528093,200
1.5,naive_ungated,0.12,0.4472,0.7946889654463183,0.12560954829528093,200
1.5,neff_ess_gated,0.0,0.0138,1.0,0.12560954829528093,200
1.5,neff_ungated,0.0,0.014199999999999999,1.0,0.12560954829528093,200
2.0,naive_clipped,0.145,0.44780000000000003,0.7625665413018353,0.04267399452305905,200
2.0,naive_ungated,0.2,0.461,0.6780118016228697,0.04267399452305905,200
2.0,neff_ess_gated,0.0,0.0002,1.0,0.04267399452305905,200
2.0,neff_ungated,0.0,0.0006,1.0,0.04267399452305905,200
3.0,naive_clipped,0.27,0.4666,0.633004033406977,0.00876918559340968,200
3.0,naive_ungated,0.42,0.5112,0.4788730545816711,0.00876918559340968,200
3.0,neff_ess_gated,0.0,0.0,,0.00876918559340968,200
3.0,neff_ungated,0.0,0.0,,0.00876918559340968,200
