sigma,gate_config,fwer_rate,mean_cert_rate,mean_gated,n_trials
0.5,clip_only,0.03,0.36533333333333334,0.0,300
0.5,ess_only,0.03,0.3605333333333333,0.0,300
0.5,full_gating,0.03,0.36533333333333334,0.0,300
0.5,khat_only,0.03,0.3605333333333333,0.0,300
0.5,no_clip,0.03,0.3605333333333333,0.0,300
0.5,no_ess,0.03,0.36533333333333334,0.0,300
0.5,no_khat,0.03,0.36533333333333334,0.0,300
0.5,ungated,0.03,0.3605333333333333,0.0,300
0.8,clip_only,0.0033333333333333335,0.2754666666666667,0.0,300
0.8,ess_only,0.0,0.24760000000000001,0.0,300
0.8,full_gating,0.0033333333333333335,0.2754666666666667,0.0033333333333333335,300
0.8,khat_only,0.0,0.24760000000000001,0.0033333333333333335,300
0.8,no_clip,0.0,0.24760000000000001,0.0033333333333333335,300
0.8,no_ess,0.0033333333333333335,0.2754666666666667,0.0033333333333333335,300
0.8,no_khat,0.0033333333333333335,0.2754666666666667,0.0,300
0.8,ungated,0.0,0.24760000000000001,0.0,300
1.0,clip_only,0.0,0.196,0.0,300
1.0,ess_only,0.0,0.1512,0.023333333333333334,300
1.0,full_gating,0.0,0.19373333333333334,0.16333333333333333,300
1.0,khat_only,0.0,0.15026666666666666,0.14,300
1.0,no_clip,0.0,0.15026666666666666,0.16333333333333333,300
1.0,no_ess,0.0,0.19426666666666667,0.14,300
1.0,no_khat,0.0,0.19546666666666668,0.023333333333333334,300
1.0,ungated,0.0,0.1512,0.0,300
1.5,clip_only,0.0,0.046933333333333334,0.0,300
1.5,ess_only,0.0,0.014,1.7833333333333334,300
1.5,full_gating,0.0,0.009333333333333334,4.206666666666667,300
1.5,khat_only,0.0,0.0041333333333333335,4.05,300
1.5,no_clip,0.0,0.0041333333333333335,4.206666666666667,300
1.5,no_ess,0.0,0.011733333333333333,4.05,300
1.5,no_khat,0.0,0.03186666666666667,1.7833333333333334,300
1.5,ungated,0.0,0.014400000000000001,0.0,300
2.0,clip_only,0.0,0.0041333333333333335,0.0,300
2.0,ess_only,0.0,0.0002666666666666667,4.42,300
2.0,full_gating,0.0,0.0,4.956666666666667,300
2.0,khat_only,0.0,0.0,4.95,300
2.0,no_clip,0.0,0.0,4.956666666666667,300
2.0,no_ess,0.0,0.0,4.95,300
2.0,no_khat,0.0,0.0005333333333333334,4.42,300
2.0,ungated,0.0,0.0006666666666666668,0.0,300
3.0,clip_only,0.0,0.0,0.0,300
3.0,ess_only,0.0,0.0,4.983333333333333,300
3.0,full_gating,0.0,0.0,4.996666666666667,300
3.0,khat_only,0.0,0.0,4.996666666666667,300
3.0,no_clip,0.0,0.0,4.996666666666667,300
3.0,no_ess,0.0,0.0,4.996666666666667,300
3.0,no_khat,0.0,0.0,4.983333333333333,300
3.0,ungated,0.0,0.0,0.0,300
