config,pathology,variant,mean_cert_rate,fwer_violations,n_trials,total_certified,total_false,mean_n_eff,mean_coverage,mean_gated,mean_ess_frac,mean_weight_cv,observed_fwer
small_n_adversarial,adversarial,naive_clipped_99,0.0047599999999999995,0,500,119,0,14.412714076100709,0.8797250859106529,0.0,0.014182851542048468,9.592407976356148,0.0
small_n_adversarial,adversarial,naive_ess_gated,0.00044,0,500,11,0,22.885648034205133,0.9,3.902,0.014182851542048468,9.592407976356148,0.0
small_n_adversarial,adversarial,naive_ungated,0.00492,0,500,123,0,14.403634627550648,0.8809523809523809,0.0,0.014182851542048468,9.592407976356148,0.0
small_n_adversarial,adversarial,neff_ess_gated,0.00044,0,500,11,0,22.885648034205133,0.9,3.902,0.014182851542048468,9.592407976356148,0.0
small_n_adversarial,adversarial,neff_ungated,0.00044,0,500,11,0,14.403634627550648,0.9,0.0,0.014182851542048468,9.592407976356148,0.0
small_n_heavy_tails,heavy_tails,naive_clipped_99,0.00152,0,500,38,0,13.353398658604933,0.90625,0.0,0.2240642225056576,2.390418229382328,0.0
small_n_heavy_tails,heavy_tails,naive_ess_gated,0.00128,0,500,32,0,13.186501602329074,0.9333333333333333,0.536,0.2240642225056576,2.390418229382328,0.0
small_n_heavy_tails,heavy_tails,naive_ungated,0.00172,0,500,43,0,12.632746190529199,0.8888888888888888,0.0,0.2240642225056576,2.390418229382328,0.0
small_n_heavy_tails,heavy_tails,neff_ess_gated,0.0,0,500,0,0,13.186501602329074,,0.536,0.2240642225056576,2.390418229382328,0.0
small_n_heavy_tails,heavy_tails,neff_ungated,0.0,0,500,0,0,12.632746190529199,,0.0,0.2240642225056576,2.390418229382328,0.0
usable_adversarial,adversarial,naive_clipped_99,0.51568,338,500,6446,600,30.938183028894567,0.36365061297200446,0.0,0.008295943332234334,15.219419822386753,0.676
usable_adversarial,adversarial,naive_ess_gated,0.00592,0,500,74,0,108.43617021276596,0.9787234042553191,4.804,0.008295943332234334,15.219419822386753,0.0
usable_adversarial,adversarial,naive_ungated,0.5676,383,500,7095,784,7.751863940401105,0.26601552580643595,0.0,0.008295943332234334,15.219419822386753,0.766
usable_adversarial,adversarial,neff_ess_gated,0.00592,0,500,74,0,108.43617021276596,0.9787234042553191,4.804,0.008295943332234334,15.219419822386753,0.0
usable_adversarial,adversarial,neff_ungated,0.00592,0,500,74,0,7.751863940401105,0.9787234042553191,0.0,0.008295943332234334,15.219419822386753,0.0
usable_good_weights,well_behaved,naive_clipped_99,0.42552,29,500,5319,31,184.12278151215943,0.8717798348710113,0.0,0.9140125678350579,0.3066864981046173,0.058
usable_good_weights,well_behaved,naive_ess_gated,0.42488,29,500,5311,31,183.4093337718822,0.8717120027031793,0.0,0.9140125678350579,0.3066864981046173,0.058
usable_good_weights,well_behaved,naive_ungated,0.42488,29,500,5311,31,183.4093337718822,0.8717120027031793,0.0,0.9140125678350579,0.3066864981046173,0.058
usable_good_weights,well_behaved,neff_ess_gated,0.40176,25,500,5022,27,183.4093337718822,0.8870651515151515,0.0,0.9140125678350579,0.3066864981046173,0.05
usable_good_weights,well_behaved,neff_ungated,0.40176,25,500,5022,27,183.4093337718822,0.8870651515151515,0.0,0.9140125678350579,0.3066864981046173,0.05
usable_heavy_tails,heavy_tails,naive_clipped_99,0.43368,35,500,5421,37,89.21393044182243,0.8443159262306321,0.0,0.15195266807504143,3.0448432453003127,0.07
usable_heavy_tails,heavy_tails,naive_ess_gated,0.34072,27,500,4259,27,67.44595097535542,0.833787146790165,0.986,0.15195266807504143,3.0448432453003127,0.054
usable_heavy_tails,heavy_tails,naive_ungated,0.44136000000000003,45,500,5517,48,58.11322211007536,0.8142052589567295,0.0,0.15195266807504143,3.0448432453003127,0.09
usable_heavy_tails,heavy_tails,neff_ess_gated,0.0852,0,500,1065,0,67.44595097535542,0.9748523206751055,0.986,0.15195266807504143,3.0448432453003127,0.0
usable_heavy_tails,heavy_tails,neff_ungated,0.08528,0,500,1066,0,58.11322211007536,0.9754852320675106,0.0,0.15195266807504143,3.0448432453003127,0.0
usable_moderate_tails,moderate_tails,naive_clipped_99,0.43128000000000005,34,500,5391,36,91.31485567650964,0.8492528489484372,0.0,0.37465942889872356,1.2975915648530296,0.068
usable_moderate_tails,moderate_tails,naive_ess_gated,0.42888,35,500,5361,38,80.09788706233674,0.842426180682063,0.018,0.37465942889872356,1.2975915648530296,0.07
usable_moderate_tails,moderate_tails,naive_ungated,0.43048000000000003,35,500,5381,38,79.85827963356702,0.84254017779606,0.0,0.37465942889872356,1.2975915648530296,0.07
usable_moderate_tails,moderate_tails,neff_ess_gated,0.14904,0,500,1863,0,80.09788706233674,0.9637942298131373,0.018,0.37465942889872356,1.2975915648530296,0.0
usable_moderate_tails,moderate_tails,neff_ungated,0.14904,0,500,1863,0,79.85827963356702,0.9637942298131373,0.0,0.37465942889872356,1.2975915648530296,0.0
