config,pathology,variant,fwer_violations,n_trials,observed_fwer,wilson_ci_lo,wilson_ci_hi,binomial_p_greater,significantly_above_alpha,ci_upper_within_tolerance,mean_cert_rate,mean_coverage
small_n_adversarial,adversarial,naive_clipped_99,0,500,0.0,0.0,0.0076,1.0,False,True,0.0047599999999999,0.8797250859106529
small_n_adversarial,adversarial,naive_ess_gated,0,500,0.0,0.0,0.0076,1.0,False,True,0.00044,0.9
small_n_adversarial,adversarial,naive_ungated,0,500,0.0,0.0,0.0076,1.0,False,True,0.00492,0.8809523809523809
small_n_adversarial,adversarial,neff_ess_gated,0,500,0.0,0.0,0.0076,1.0,False,True,0.00044,0.9
small_n_adversarial,adversarial,neff_ungated,0,500,0.0,0.0,0.0076,1.0,False,True,0.00044,0.9
small_n_heavy_tails,heavy_tails,naive_clipped_99,0,500,0.0,0.0,0.0076,1.0,False,True,0.00152,0.90625
small_n_heavy_tails,heavy_tails,naive_ess_gated,0,500,0.0,0.0,0.0076,1.0,False,True,0.00128,0.9333333333333332
small_n_heavy_tails,heavy_tails,naive_ungated,0,500,0.0,0.0,0.0076,1.0,False,True,0.00172,0.8888888888888888
small_n_heavy_tails,heavy_tails,neff_ess_gated,0,500,0.0,0.0,0.0076,1.0,False,True,0.0,
small_n_heavy_tails,heavy_tails,neff_ungated,0,500,0.0,0.0,0.0076,1.0,False,True,0.0,
usable_adversarial,adversarial,naive_clipped_99,338,500,0.676,0.6338,0.7155,0.0,True,False,0.51568,0.3636506129720044
usable_adversarial,adversarial,naive_ess_gated,0,500,0.0,0.0,0.0076,1.0,False,True,0.00592,0.9787234042553192
usable_adversarial,adversarial,naive_ungated,383,500,0.766,0.7269,0.801,0.0,True,False,0.5676,0.2660155258064359
usable_adversarial,adversarial,neff_ess_gated,0,500,0.0,0.0,0.0076,1.0,False,True,0.00592,0.9787234042553192
usable_adversarial,adversarial,neff_ungated,0,500,0.0,0.0,0.0076,1.0,False,True,0.00592,0.9787234042553192
usable_good_weights,well_behaved,naive_clipped_99,29,500,0.058,0.0407,0.0821,0.231678,False,False,0.42552,0.8717798348710113
usable_good_weights,well_behaved,naive_ess_gated,29,500,0.058,0.0407,0.0821,0.231678,False,False,0.42488,0.8717120027031793
usable_good_weights,well_behaved,naive_ungated,29,500,0.058,0.0407,0.0821,0.231678,False,False,0.42488,0.8717120027031793
usable_good_weights,well_behaved,neff_ess_gated,25,500,0.05,0.0341,0.0728,0.528649,False,False,0.40176,0.8870651515151515
usable_good_weights,well_behaved,neff_ungated,25,500,0.05,0.0341,0.0728,0.528649,False,False,0.40176,0.8870651515151515
usable_heavy_tails,heavy_tails,naive_clipped_99,35,500,0.07,0.0508,0.0958,0.03026,True,False,0.43368,0.8443159262306321
usable_heavy_tails,heavy_tails,naive_ess_gated,27,500,0.054,0.0374,0.0774,0.368611,False,False,0.34072,0.833787146790165
usable_heavy_tails,heavy_tails,naive_ungated,45,500,0.09,0.0679,0.1183,0.000131,True,False,0.44136,0.8142052589567295
usable_heavy_tails,heavy_tails,neff_ess_gated,0,500,0.0,0.0,0.0076,1.0,False,True,0.0852,0.9748523206751056
usable_heavy_tails,heavy_tails,neff_ungated,0,500,0.0,0.0,0.0076,1.0,False,True,0.08528,0.9754852320675106
usable_moderate_tails,moderate_tails,naive_clipped_99,34,500,0.068,0.0491,0.0935,0.045412,True,False,0.43128,0.8492528489484372
usable_moderate_tails,moderate_tails,naive_ess_gated,35,500,0.07,0.0508,0.0958,0.03026,True,False,0.42888,0.842426180682063
usable_moderate_tails,moderate_tails,naive_ungated,35,500,0.07,0.0508,0.0958,0.03026,True,False,0.43048,0.84254017779606
usable_moderate_tails,moderate_tails,neff_ess_gated,0,500,0.0,0.0,0.0076,1.0,False,True,0.14904,0.9637942298131372
usable_moderate_tails,moderate_tails,neff_ungated,0,500,0.0,0.0,0.0076,1.0,False,True,0.14904,0.9637942298131372
