dataset,domain,method,cert_rate_%,mean_mu_hat,mean_lower_bound,mean_n_eff,runtime_sec,n_cohorts
adult,tabular,ulsif,2.45,0.71,0.18,37.32,0.17,49
ag_news,text,ulsif,25.0,0.25,0.25,1481.24,13.67,4
amazon,text,ulsif,80.0,0.89,0.86,1017.3,5.02,3
bank,tabular,ulsif,0.0,0.65,0.27,53.51,1.08,10
civil_comments,text,ulsif,10.0,1.0,0.57,10.5,4.32,2
communities_crime,tabular,ulsif,6.67,0.85,0.72,18.25,0.08,9
compas,tabular,ulsif,8.42,0.96,0.3,15.17,39.63,38
dbpedia,text,ulsif,28.57,0.5,0.49,163.85,5.88,14
diabetes,tabular,ulsif,0.0,0.71,0.0,7.96,0.02,4
german_credit,tabular,ulsif,0.0,0.42,0.0,2.32,0.02,14
heart_disease,tabular,ulsif,0.0,0.94,0.0,1.73,0.01,8
imdb,text,ulsif,60.0,0.6,0.59,538.44,10.37,10
imdb_genre,text,ulsif,65.0,0.87,0.78,255.49,3.48,8
mushroom,tabular,ulsif,46.67,0.84,0.65,63.6,0.15,6
online_shoppers,tabular,ulsif,2.0,0.79,0.17,20.02,0.22,10
sst2,text,ulsif,50.0,0.5,0.5,1003.17,4.32,8
student_performance,tabular,ulsif,18.18,0.94,0.37,15.18,0.03,11
twitter,text,ulsif,30.0,0.76,0.61,143.9,4.57,10
wine_quality,tabular,ulsif,36.67,0.69,0.58,147.9,0.15,6
yelp,text,ulsif,62.0,0.84,0.77,424.79,10.2,10
