dataset,domain,method,status,runtime_sec,n_cohort_tau_pairs
adult,tabular,ulsif,OK,0.17,245
bank,tabular,ulsif,OK,1.08,50
communities_crime,tabular,ulsif,OK,0.08,45
compas,tabular,ulsif,OK,39.63,190
diabetes,tabular,ulsif,OK,0.02,20
german_credit,tabular,ulsif,OK,0.02,70
heart_disease,tabular,ulsif,OK,0.01,40
mushroom,tabular,ulsif,OK,0.15,30
online_shoppers,tabular,ulsif,OK,0.22,50
student_performance,tabular,ulsif,OK,0.03,55
wine_quality,tabular,ulsif,OK,0.15,30
ag_news,text,ulsif,OK,13.67,20
amazon,text,ulsif,OK,5.02,15
civil_comments,text,ulsif,OK,4.32,10
dbpedia,text,ulsif,OK,5.88,70
imdb,text,ulsif,OK,10.37,50
imdb_genre,text,ulsif,OK,3.48,40
sst2,text,ulsif,OK,4.32,40
twitter,text,ulsif,OK,4.57,50
yelp,text,ulsif,OK,10.2,50
