dataset,pca_dims,label,explained_variance,mean_n_eff,median_n_eff,cert_rate,n_certified,n_total,n_cohorts,mean_weight,std_weight,max_weight
bace,5,PCA-5,0.5698013783087034,2.52698378610083,1.0,0.0031496062992125984,2,635,127,1.0000000000000002,0.16473803095535838,1.2181183918322618
bace,10,PCA-10,0.7238241327196316,2.5278338253181976,1.0,0.0031496062992125984,2,635,127,1.0,0.14940467116192613,1.2313813618742977
bace,20,PCA-20,0.8525320969322321,2.5274648576382654,1.0,0.0031496062992125984,2,635,127,1.0,0.14462366764478576,1.2012939922674892
bace,50,PCA-50,0.9711855026127582,2.5274024815799794,1.0,0.0031496062992125984,2,635,127,1.0,0.13678362359699514,1.2002030281224088
bace,100,PCA-100,0.9988402980068192,2.5273924085456554,1.0,0.0031496062992125984,2,635,127,1.0000000000000004,0.1347124762147475,1.1944803643631734
bace,217,original,1.0,2.527387472146887,1.0,0.0031496062992125984,2,635,127,1.0,0.13457764788143822,1.1940124683472992
bbbp,5,PCA-5,0.5084896126738524,3.330935674564362,1.0,0.006299212598425197,4,635,127,1.0000000000000002,0.2944113677419427,1.465536524681341
bbbp,10,PCA-10,0.6453152283381154,3.366871933221343,1.0,0.006299212598425197,4,635,127,1.0,0.2450934284384246,1.3758643216426274
bbbp,20,PCA-20,0.7801895744111763,3.388680604826103,1.0,0.006299212598425197,4,635,127,0.9999999999999999,0.20881097202138685,1.3233732188231948
bbbp,50,PCA-50,0.9295928956273988,3.4024125571498867,1.0,0.006299212598425197,4,635,127,1.0,0.1813987751742726,1.28064629731869
bbbp,100,PCA-100,0.9906346498763114,3.4056564198131065,1.0,0.006299212598425197,4,635,127,1.0000000000000002,0.17380726018959897,1.2678687583383936
bbbp,217,original,1.0,3.4060872822196435,1.0,0.006299212598425197,4,635,127,1.0,0.17287210218875299,1.2662375983576226
