dataset,domain,cert_rate,mean_n_eff,median_n_eff,n_decisions,two_sample_auc,shift_magnitude,n_cal,n_test,n_features,log_neff,is_text,is_tabular
adult,tabular,0.022108843537414963,37.898953215234144,0.0,588,0.4598913580246914,0.08021728395061722,9768,9769,113,3.6609673406282464,0,1
amazon,text,1.0,801.3318395126178,792.9985031067124,36,0.4869765432098765,0.026046913580247022,5998,6003,21,6.687522287267718,1,0
bace,molecular,0.0026246719160104987,0.6055120762609068,0.0,1524,0.7959183673469388,0.5918367346938775,303,301,217,0.4734427563259986,0,0
bank,tabular,0.0,54.75138619645295,49.42191971143566,120,0.49128333333333335,0.0174333333333333,8237,8239,63,4.020902274541478,0,1
bbbp,molecular,0.005249343832020997,1.7495926590771775,0.0,1524,0.8350662298817831,0.6701324597635663,395,394,217,1.0114527767351056,0,0
civil_comments,text,1.0,599.3996153262422,583.999623170125,60,0.5014709876543211,0.002941975308642153,5997,6005,15,6.397595459063303,1,0
clintox,molecular,0.007575757575757576,1.4021698140536922,0.0,1320,0.8062428078250863,0.6124856156501726,294,262,217,0.876372418100468,0,0
compas,tabular,0.07456140350877193,15.224315204692616,4.983890916422013,456,0.4910686967290741,0.01786260654185179,1234,1235,48716,2.7865110555171744,0,1
diabetes,tabular,0.0,11.47221542824925,10.37384116402287,48,0.40124884366327473,0.19750231267345053,153,155,12,2.5235034045576508,0,1
german_credit,tabular,0.0,2.3109717248242996,0.0,168,0.5294444444444444,0.05888888888888877,200,200,65,1.1972417187594817,0,1
heart_disease,tabular,0.0,3.081880196265911,0.0,96,0.3771929824561404,0.24561403508771917,60,62,17,1.4065577146835375,0,1
imdb,text,0.6,538.4476157842305,804.923795267152,120,0.5473475308641976,0.09469506172839526,10000,10000,5000,6.290545682271632,1,0
sider,molecular,0.0049382716049382715,0.4078518165409938,0.0,1620,0.790521494009866,0.5810429880197321,286,220,217,0.342065008263366,0,0
twitter,text,1.0,298.2949065603401,297.49490030558815,120,0.4776203703703704,0.044759259259259165,6000,6000,21,5.701429396873354,1,0
yelp,text,0.5166666666666667,424.7639502869383,421.464723071296,120,0.5986895061728394,0.1973790123456789,11995,12008,5000,6.053885085387526,1,0
