dataset,domain,cert_rate,log_neff,mean_n_eff,shift_magnitude
adult,tabular,0.022108843537414963,3.6609673406282464,37.898953215234144,0.08021728395061722
amazon,text,1.0,6.687522287267718,801.3318395126178,0.026046913580247022
bace,molecular,0.0026246719160104987,0.4734427563259986,0.6055120762609068,0.5918367346938775
bank,tabular,0.0,4.020902274541478,54.75138619645295,0.0174333333333333
bbbp,molecular,0.005249343832020997,1.0114527767351056,1.7495926590771775,0.6701324597635663
civil_comments,text,1.0,6.397595459063303,599.3996153262422,0.002941975308642153
clintox,molecular,0.007575757575757576,0.876372418100468,1.4021698140536922,0.6124856156501726
compas,tabular,0.07456140350877193,2.7865110555171744,15.224315204692616,0.01786260654185179
diabetes,tabular,0.0,2.5235034045576508,11.47221542824925,0.19750231267345053
german_credit,tabular,0.0,1.1972417187594817,2.3109717248242996,0.05888888888888877
heart_disease,tabular,0.0,1.4065577146835375,3.081880196265911,0.24561403508771917
imdb,text,0.6,6.290545682271632,538.4476157842305,0.09469506172839526
sider,molecular,0.0049382716049382715,0.342065008263366,0.4078518165409938,0.5810429880197321
twitter,text,1.0,5.701429396873354,298.2949065603401,0.044759259259259165
yelp,text,0.5166666666666667,6.053885085387526,424.7639502869383,0.1973790123456789
