dataset,domain,two_sample_auc,shift_magnitude,n_cal,n_test,n_features
bace,molecular,0.7959183673469388,0.5918367346938775,303,301,217
bbbp,molecular,0.8350662298817831,0.6701324597635663,395,394,217
clintox,molecular,0.8062428078250863,0.6124856156501726,294,262,217
sider,molecular,0.790521494009866,0.5810429880197321,286,220,217
adult,tabular,0.4598913580246914,0.08021728395061722,9768,9769,113
compas,tabular,0.4910686967290741,0.01786260654185179,1234,1235,48716
bank,tabular,0.49128333333333335,0.0174333333333333,8237,8239,63
german_credit,tabular,0.5294444444444444,0.05888888888888877,200,200,65
heart_disease,tabular,0.3771929824561404,0.24561403508771917,60,62,17
diabetes,tabular,0.40124884366327473,0.19750231267345053,153,155,12
imdb,text,0.5473475308641976,0.09469506172839526,10000,10000,5000
yelp,text,0.5986895061728394,0.1973790123456789,11995,12008,5000
amazon,text,0.4869765432098765,0.026046913580247022,5998,6003,21
civil_comments,text,0.5014709876543211,0.002941975308642153,5997,6005,15
twitter,text,0.4776203703703704,0.044759259259259165,6000,6000,21
