dataset,domain,method,cert_rate,mean_n_eff,n_cohorts,two_sample_auc,shift_magnitude,n_cal,n_test,n_features,log_neff,is_text,is_tabular
adult,tabular,ravel,0.017,58.45,49,0.4598913580246914,0.0802172839506172,9768,9769,113,4.085135623136791,0,1
ag_news,text,ravel,0.25,1481.21,4,0.48662037037037037,0.02675925925925926,25520,25520,5000,7.301289496222337,1,0
amazon,text,ravel,0.7222,1017.19,3,0.4869765432098765,0.026046913580247,5998,6003,21,6.925781820166815,1,0
bank,tabular,ravel,0.0,57.49,10,0.4912833333333333,0.0174333333333333,8237,8239,63,4.068855799454934,0,1
civil_comments,text,ravel,0.0833,21.0,2,0.5014709876543211,0.0029419753086421,5997,6005,15,3.091042453358316,1,0
communities_crime,tabular,ravel,0.0556,21.39,9,0.42278550764568124,0.15442898470863753,395,407,122,3.1086144306106633,0,1
compas,tabular,ravel,0.0395,17.68,38,0.4910686967290741,0.0178626065418517,1234,1235,48716,2.9274534328006965,0,1
dbpedia,text,ravel,0.2857,177.13,14,0.46566728395061724,0.06866543209876552,8400,8400,5000,5.182513620804394,1,0
diabetes,tabular,ravel,0.0,8.2,4,0.4012488436632747,0.1975023126734505,153,155,12,2.2192034840549946,0,1
german_credit,tabular,ravel,0.0,4.44,14,0.5294444444444444,0.0588888888888887,200,200,65,1.6937790608678513,0,1
heart_disease,tabular,ravel,0.0,3.82,8,0.3771929824561404,0.2456140350877191,60,62,17,1.572773928062509,0,1
imdb,text,ravel,0.6,538.37,10,0.5473475308641976,0.0946950617283952,10000,10000,5000,6.290401791806313,1,0
imdb_genre,text,ravel,0.5,255.46,8,0.4919820987654321,0.01603580246913583,3996,4007,5000,5.54697270703097,1,0
mushroom,tabular,ravel,0.44439999999999996,64.41,6,0.51301775147929,0.026035502958579926,1126,1134,21,4.180675151973121,0,1
online_shoppers,tabular,ravel,0.0,25.1,10,0.4810981073520413,0.037803785295917436,2460,2477,17,3.261935314328648,0,1
sst2,text,ravel,0.5,1006.6,8,0.49412098765432083,0.011758024691358337,13466,13478,3000,6.9153265444784555,1,0
student_performance,tabular,ravel,0.060599999999999994,15.72,11,0.38599143361048127,0.22801713277903746,208,210,65,2.8166056076565553,0,1
twitter,text,ravel,0.1833,143.89,10,0.4776203703703704,0.0447592592592591,6000,6000,21,4.97597483383263,1,0
wine_quality,tabular,ravel,0.3333,150.64,6,0.5098794659251875,0.019758931850375028,1297,1304,12,5.021509290648134,0,1
yelp,text,ravel,0.5,424.53,10,0.5986895061728394,0.1973790123456789,11995,12008,5000,6.053335450815944,1,0
bace,molecular,ulsif,0.0031,0.61,127,0.7959183673469388,0.5918367346938775,303,301,217,0.4762341789963716,0,0
bbbp,molecular,ulsif,0.0063,1.79,127,0.8350662298817831,0.6701324597635663,395,394,217,1.0260415958332743,0,0
clintox,molecular,ulsif,0.0073,1.4,110,0.8062428078250863,0.6124856156501726,294,262,217,0.8754687373538999,0,0
esol,molecular,ulsif,0.0667,24.39,6,0.9789413118527043,0.9578826237054086,263,181,217,3.234355395716587,0,0
freesolv,molecular,ulsif,0.2667,15.12,3,0.9888551165146909,0.9777102330293819,154,71,217,2.780060737078482,0,0
lipophilicity,molecular,ulsif,0.0,0.18,459,0.7050185815066767,0.41003716301335347,840,840,217,0.16551443847757338,0,0
sider,molecular,ulsif,0.0,0.32,135,0.790521494009866,0.5810429880197321,286,220,217,0.2776317365982795,0,0
