dataset,domain,method,cert_rate,log_neff,mean_n_eff,shift_magnitude
adult,tabular,ravel,0.017,4.085135623136791,58.45,0.0802172839506172
ag_news,text,ravel,0.25,7.301289496222337,1481.21,0.02675925925925926
amazon,text,ravel,0.7222,6.925781820166815,1017.19,0.026046913580247
bank,tabular,ravel,0.0,4.068855799454934,57.49,0.0174333333333333
civil_comments,text,ravel,0.0833,3.091042453358316,21.0,0.0029419753086421
communities_crime,tabular,ravel,0.0556,3.1086144306106633,21.39,0.15442898470863753
compas,tabular,ravel,0.0395,2.9274534328006965,17.68,0.0178626065418517
dbpedia,text,ravel,0.2857,5.182513620804394,177.13,0.06866543209876552
diabetes,tabular,ravel,0.0,2.2192034840549946,8.2,0.1975023126734505
german_credit,tabular,ravel,0.0,1.6937790608678513,4.44,0.0588888888888887
heart_disease,tabular,ravel,0.0,1.572773928062509,3.82,0.2456140350877191
imdb,text,ravel,0.6,6.290401791806313,538.37,0.0946950617283952
imdb_genre,text,ravel,0.5,5.54697270703097,255.46,0.01603580246913583
mushroom,tabular,ravel,0.44439999999999996,4.180675151973121,64.41,0.026035502958579926
online_shoppers,tabular,ravel,0.0,3.261935314328648,25.1,0.037803785295917436
sst2,text,ravel,0.5,6.9153265444784555,1006.6,0.011758024691358337
student_performance,tabular,ravel,0.060599999999999994,2.8166056076565553,15.72,0.22801713277903746
twitter,text,ravel,0.1833,4.97597483383263,143.89,0.0447592592592591
wine_quality,tabular,ravel,0.3333,5.021509290648134,150.64,0.019758931850375028
yelp,text,ravel,0.5,6.053335450815944,424.53,0.1973790123456789
bace,molecular,ulsif,0.0031,0.4762341789963716,0.61,0.5918367346938775
bbbp,molecular,ulsif,0.0063,1.0260415958332743,1.79,0.6701324597635663
clintox,molecular,ulsif,0.0073,0.8754687373538999,1.4,0.6124856156501726
esol,molecular,ulsif,0.0667,3.234355395716587,24.39,0.9578826237054086
freesolv,molecular,ulsif,0.2667,2.780060737078482,15.12,0.9777102330293819
lipophilicity,molecular,ulsif,0.0,0.16551443847757338,0.18,0.41003716301335347
sider,molecular,ulsif,0.0,0.2776317365982795,0.32,0.5810429880197321
