dataset,domain,two_sample_auc,shift_magnitude,n_cal,n_test,n_features
bace,molecular,0.7959183673469388,0.5918367346938775,303,301,217
bbbp,molecular,0.8350662298817831,0.6701324597635663,395,394,217
clintox,molecular,0.8062428078250863,0.6124856156501726,294,262,217
sider,molecular,0.790521494009866,0.5810429880197321,286,220,217
adult,tabular,0.4598913580246914,0.0802172839506172,9768,9769,113
compas,tabular,0.4910686967290741,0.0178626065418517,1234,1235,48716
bank,tabular,0.4912833333333333,0.0174333333333333,8237,8239,63
german_credit,tabular,0.5294444444444444,0.0588888888888887,200,200,65
heart_disease,tabular,0.3771929824561404,0.2456140350877191,60,62,17
diabetes,tabular,0.4012488436632747,0.1975023126734505,153,155,12
imdb,text,0.5473475308641976,0.0946950617283952,10000,10000,5000
yelp,text,0.5986895061728394,0.1973790123456789,11995,12008,5000
amazon,text,0.4869765432098765,0.026046913580247,5998,6003,21
civil_comments,text,0.5014709876543211,0.0029419753086421,5997,6005,15
twitter,text,0.4776203703703704,0.0447592592592591,6000,6000,21
ag_news,text,0.48662037037037037,0.02675925925925926,25520,25520,5000
communities_crime,tabular,0.42278550764568124,0.15442898470863753,395,407,122
dbpedia,text,0.46566728395061724,0.06866543209876552,8400,8400,5000
esol,molecular,0.9789413118527043,0.9578826237054086,263,181,217
freesolv,molecular,0.9888551165146909,0.9777102330293819,154,71,217
imdb_genre,text,0.4919820987654321,0.01603580246913583,3996,4007,5000
lipophilicity,molecular,0.7050185815066767,0.41003716301335347,840,840,217
mushroom,tabular,0.51301775147929,0.026035502958579926,1126,1134,21
online_shoppers,tabular,0.4810981073520413,0.037803785295917436,2460,2477,17
sst2,text,0.49412098765432083,0.011758024691358337,13466,13478,3000
student_performance,tabular,0.38599143361048127,0.22801713277903746,208,210,65
wine_quality,tabular,0.5098794659251875,0.019758931850375028,1297,1304,12
