dataset,domain,target_cohort_size,mean_cert_rate,std_cert_rate,mean_neff,mean_cohorts,n_trials
adult,tabular,3,0.0,0.0,1.9953895577141414,50.0,20
adult,tabular,5,0.0,0.0,1.9986594311070995,49.0,20
adult,tabular,10,0.0,0.0,2.342725553992903,49.0,20
adult,tabular,20,0.0,0.0,3.9259878033243836,44.0,20
adult,tabular,50,0.0,0.0,9.8609751473458,32.0,20
adult,tabular,100,0.0,0.0,19.310191720174004,27.0,20
adult,tabular,original,0.0,0.0,23.94103330281786,50.0,20
bace,molecular,original,0.0,0.0,117.90577715675151,5.0,20
bbbp,molecular,original,0.362,0.008944271909999165,268.48655443819825,5.0,20
compas,tabular,3,0.0,0.0,1.9994774338910268,38.0,20
compas,tabular,5,0.0,0.0,2.622135933074596,35.0,20
compas,tabular,10,0.0,0.0,4.440025619188232,32.0,20
compas,tabular,20,0.0,0.0,8.843908579409332,25.0,20
compas,tabular,50,0.0,0.0,22.542712022779618,22.0,20
compas,tabular,original,0.0,0.0,29.64977008404557,43.0,20
imdb,text,3,0.0,0.0,2.3498693694211865,10.0,20
imdb,text,5,0.0,0.0,3.6246376349356217,10.0,20
imdb,text,10,0.0,0.0,6.274340742949365,10.0,20
imdb,text,20,0.0,0.0,12.398980845460205,10.0,20
imdb,text,50,0.012,0.01507874069850104,28.59748124344004,10.0,20
imdb,text,100,0.175,0.008885233166386388,55.81977331140945,10.0,20
imdb,text,200,0.24,0.0,110.98885050019116,10.0,20
imdb,text,500,0.309,0.010208355710680822,282.3503372046329,10.0,20
imdb,text,original,0.4,0.0,2287.806687006456,10.0,20
yelp,text,3,0.0,0.0,1.8749676908124375,10.0,20
yelp,text,5,0.0,0.0,2.1999867822741135,10.0,20
yelp,text,10,0.0,0.0,3.7249097200455497,10.0,20
yelp,text,20,0.0,0.0,6.698375893248918,10.0,20
yelp,text,50,0.0,0.0,17.17293954437719,10.0,20
yelp,text,100,0.0,0.0,35.14927192530124,10.0,20
yelp,text,200,0.0,0.0,70.29870316475686,10.0,20
yelp,text,500,0.0,0.0,175.64129866702487,10.0,20
yelp,text,original,0.0,0.0,1689.4686598066523,10.0,20
