trial_id,n_cal,n_test,n_cohorts,shift_severity,positive_rate,false_certify_fwer,false_certify_count,n_certified,n_abstain,n_no_guarantee,coverage,mean_n_eff,mean_ppv_estimate,mean_true_ppv,runtime_seconds
0,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.12423157691955566
1,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.11716413497924805
2,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.1008002758026123
3,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.11119985580444336
4,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.10299515724182129
5,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.09021210670471191
6,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.07874035835266113
7,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.09937477111816406
8,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.13459014892578125
9,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.1138448715209961
10,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.12301182746887207
11,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.12075614929199219
12,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.0774683952331543
13,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.08597588539123535
14,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.08639860153198242
15,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.10968232154846191
16,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.09834527969360352
17,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.07791686058044434
18,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.08493447303771973
19,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.08716082572937012
20,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.11607599258422852
21,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.13062047958374023
22,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.08457422256469727
23,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.10239839553833008
24,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.09239625930786133
25,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.12594318389892578
26,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.10897994041442871
27,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.10249924659729004
28,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.14845538139343262
29,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.10045194625854492
30,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.0925297737121582
31,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.11444687843322754
32,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.1079721450805664
33,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.1098935604095459
34,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.10326242446899414
35,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.09128260612487793
36,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.09812617301940918
37,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.11121034622192383
38,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.07492780685424805
39,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.1307222843170166
40,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.10610795021057129
41,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.09925436973571777
42,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.10988879203796387
43,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.18604016304016113
44,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.08783268928527832
45,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.11667418479919434
46,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.14051413536071777
47,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.1351616382598877
48,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.10242033004760742
49,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.0988774299621582
50,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.1270604133605957
51,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.08458995819091797
52,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.11838364601135254
53,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.12254524230957031
54,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.09123778343200684
55,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.11567258834838867
56,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.08143448829650879
57,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.09631156921386719
58,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.11219525337219238
59,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.09757399559020996
60,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.0888514518737793
61,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.06813192367553711
62,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.11568856239318848
63,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.11251544952392578
64,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.17356419563293457
65,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.0806884765625
66,500,5000,10,1.0,0.5,0,0,0,0,50,,,,,0.11606669425964355
