trial_id,n_cal,n_test,n_cohorts,shift_severity,positive_rate,false_certify_fwer,false_certify_count,n_certified,n_abstain,n_no_guarantee,coverage,mean_n_eff,mean_ppv_estimate,mean_true_ppv,runtime_seconds
0,500,5000,10,1.0,0.5,0,0,0,50,0,,19.988610125521802,,,0.16710519790649414
1,500,5000,10,1.0,0.5,0,0,0,50,0,,25.655601866538596,,,0.15636944770812988
2,500,5000,10,1.0,0.5,0,0,0,50,0,,18.591953173954032,,,0.13833022117614746
3,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,20.14016851176418,1.0,0.8907563025210085,0.15065860748291016
4,500,5000,10,1.0,0.5,0,0,0,50,0,,23.52246067209707,,,0.14939641952514648
5,500,5000,10,1.0,0.5,0,0,0,50,0,,27.006750047619153,,,0.1271839141845703
6,500,5000,10,1.0,0.5,0,0,2,48,0,1.0,26.165963649977083,1.0,0.8707692307692307,0.10757923126220703
7,500,5000,10,1.0,0.5,0,0,0,50,0,,20.307161106352318,,,0.15382647514343262
8,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,23.115776259147477,0.9777237867006938,0.7808764940239044,0.19089484214782715
9,500,5000,10,1.0,0.5,0,0,2,48,0,1.0,17.55813347789331,1.0,0.8205128205128205,0.14184236526489258
10,500,5000,10,1.0,0.5,0,0,0,50,0,,23.03756603551642,,,0.22752594947814941
11,500,5000,10,1.0,0.5,0,0,0,50,0,,27.06315526860055,,,0.14801645278930664
12,500,5000,10,1.0,0.5,0,0,0,50,0,,25.720000428400795,,,0.10639810562133789
13,500,5000,10,1.0,0.5,0,0,1,49,0,1.0,25.71696366173385,0.9579420779852572,0.8202247191011236,0.11345577239990234
14,500,5000,10,1.0,0.5,0,0,0,50,0,,23.743915396672524,,,0.10374951362609863
15,500,5000,10,1.0,0.5,0,0,0,50,0,,23.683040130049836,,,0.12271714210510254
16,500,5000,10,1.0,0.5,0,0,0,50,0,,20.876280034377743,,,0.11388015747070312
17,500,5000,10,1.0,0.5,0,0,0,50,0,,28.40320206050174,,,0.09357500076293945
18,500,5000,10,1.0,0.5,0,0,0,50,0,,19.580408394569275,,,0.09259200096130371
19,500,5000,10,1.0,0.5,0,0,0,50,0,,26.991221266511328,,,0.09520506858825684
20,500,5000,10,1.0,0.5,0,0,0,50,0,,19.54930905918395,,,0.1282176971435547
21,500,5000,10,1.0,0.5,0,0,0,50,0,,24.088807039784133,,,0.16802430152893066
22,500,5000,10,1.0,0.5,0,0,0,50,0,,24.638726666872135,,,0.1000223159790039
23,500,5000,10,1.0,0.5,0,0,0,50,0,,19.93019861950383,,,0.1382603645324707
24,500,5000,10,1.0,0.5,0,0,0,50,0,,27.248780018068764,,,0.1279139518737793
25,500,5000,10,1.0,0.5,0,0,0,50,0,,20.711996114045455,,,0.1495954990386963
26,500,5000,10,1.0,0.5,0,0,0,50,0,,20.29688060234417,,,0.15531110763549805
27,500,5000,10,1.0,0.5,0,0,0,50,0,,27.43489686522968,,,0.12976741790771484
28,500,5000,10,1.0,0.5,0,0,0,50,0,,16.193053850821656,,,0.1533045768737793
29,500,5000,10,1.0,0.5,0,0,3,47,0,1.0,28.48789288915752,1.0,0.888235294117647,0.16940617561340332
30,500,5000,10,1.0,0.5,0,0,0,50,0,,20.69721192016094,,,0.12897944450378418
31,500,5000,10,1.0,0.5,0,0,0,50,0,,28.789586168351583,,,0.12839794158935547
32,500,5000,10,1.0,0.5,0,0,0,50,0,,23.50144295267782,,,0.1226656436920166
33,500,5000,10,1.0,0.5,0,0,0,50,0,,22.55449006243756,,,0.12839770317077637
