dataset,tau,epsilon,true_ppv,n_false,n_trials,fwer,pass
adult,0.5,0.05,0.45,0,200,0.0,True
adult,0.6,0.05,0.5499999999999999,0,200,0.0,True
adult,0.7,0.05,0.6499999999999999,0,200,0.0,True
adult,0.8,0.05,0.75,0,200,0.0,True
adult,0.9,0.05,0.85,0,200,0.0,True
compas,0.5,0.05,0.45,0,200,0.0,True
compas,0.6,0.05,0.5499999999999999,0,200,0.0,True
compas,0.7,0.05,0.6499999999999999,0,200,0.0,True
compas,0.8,0.05,0.75,0,200,0.0,True
compas,0.9,0.05,0.85,0,200,0.0,True
imdb,0.5,0.05,0.45,0,200,0.0,True
imdb,0.6,0.05,0.5499999999999999,0,200,0.0,True
imdb,0.7,0.05,0.6499999999999999,0,200,0.0,True
imdb,0.8,0.05,0.75,0,200,0.0,True
imdb,0.9,0.05,0.85,0,200,0.0,True
yelp,0.5,0.05,0.45,0,200,0.0,True
yelp,0.6,0.05,0.5499999999999999,0,200,0.0,True
yelp,0.7,0.05,0.6499999999999999,0,200,0.0,True
yelp,0.8,0.05,0.75,0,200,0.0,True
yelp,0.9,0.05,0.85,0,200,0.0,True
bace,0.5,0.05,0.45,0,200,0.0,True
bace,0.6,0.05,0.5499999999999999,0,200,0.0,True
bace,0.7,0.05,0.6499999999999999,0,200,0.0,True
bace,0.8,0.05,0.75,0,200,0.0,True
bace,0.9,0.05,0.85,0,200,0.0,True
bbbp,0.5,0.05,0.45,0,200,0.0,True
bbbp,0.6,0.05,0.5499999999999999,0,200,0.0,True
bbbp,0.7,0.05,0.6499999999999999,0,200,0.0,True
bbbp,0.8,0.05,0.75,0,200,0.0,True
bbbp,0.9,0.05,0.85,0,200,0.0,True
