dataset,tau,true_ppv,epsilon,n_false,n_trials,fwer,ci_lower,ci_upper,ci_upper_lt_alpha,pass
adult,0.5,0.45,0.05,0,200,0.0,0.0,0.018846,True,True
adult,0.6,0.5499999999999999,0.05,0,200,0.0,0.0,0.018846,True,True
adult,0.7,0.6499999999999999,0.05,0,200,0.0,0.0,0.018846,True,True
adult,0.8,0.75,0.05,0,200,0.0,0.0,0.018846,True,True
adult,0.9,0.85,0.05,0,200,0.0,0.0,0.018846,True,True
compas,0.5,0.45,0.05,0,200,0.0,0.0,0.018846,True,True
compas,0.6,0.5499999999999999,0.05,0,200,0.0,0.0,0.018846,True,True
compas,0.7,0.6499999999999999,0.05,0,200,0.0,0.0,0.018846,True,True
compas,0.8,0.75,0.05,0,200,0.0,0.0,0.018846,True,True
compas,0.9,0.85,0.05,0,200,0.0,0.0,0.018846,True,True
imdb,0.5,0.45,0.05,0,200,0.0,0.0,0.018846,True,True
imdb,0.6,0.5499999999999999,0.05,0,200,0.0,0.0,0.018846,True,True
imdb,0.7,0.6499999999999999,0.05,0,200,0.0,0.0,0.018846,True,True
imdb,0.8,0.75,0.05,0,200,0.0,0.0,0.018846,True,True
imdb,0.9,0.85,0.05,0,200,0.0,0.0,0.018846,True,True
yelp,0.5,0.45,0.05,0,200,0.0,0.0,0.018846,True,True
yelp,0.6,0.5499999999999999,0.05,0,200,0.0,0.0,0.018846,True,True
yelp,0.7,0.6499999999999999,0.05,0,200,0.0,0.0,0.018846,True,True
yelp,0.8,0.75,0.05,0,200,0.0,0.0,0.018846,True,True
yelp,0.9,0.85,0.05,0,200,0.0,0.0,0.018846,True,True
bace,0.5,0.45,0.05,0,200,0.0,0.0,0.018846,True,True
bace,0.6,0.5499999999999999,0.05,0,200,0.0,0.0,0.018846,True,True
bace,0.7,0.6499999999999999,0.05,0,200,0.0,0.0,0.018846,True,True
bace,0.8,0.75,0.05,0,200,0.0,0.0,0.018846,True,True
bace,0.9,0.85,0.05,0,200,0.0,0.0,0.018846,True,True
bbbp,0.5,0.45,0.05,0,200,0.0,0.0,0.018846,True,True
bbbp,0.6,0.5499999999999999,0.05,0,200,0.0,0.0,0.018846,True,True
bbbp,0.7,0.6499999999999999,0.05,0,200,0.0,0.0,0.018846,True,True
bbbp,0.8,0.75,0.05,0,200,0.0,0.0,0.018846,True,True
bbbp,0.9,0.85,0.05,0,200,0.0,0.0,0.018846,True,True
