dataset,domain,null_offset,observed_fwer,total_false,n_trials,mean_certs
adult,tabular,0.02,0.0,0,200,36.165
adult,tabular,0.05,0.0,0,200,29.985
adult,tabular,0.1,0.0,0,200,24.07
bace,molecular,0.02,0.0,0,200,8.48
bace,molecular,0.05,0.0,0,200,6.14
bace,molecular,0.1,0.0,0,200,2.905
bbbp,molecular,0.02,0.0,0,200,15.065
bbbp,molecular,0.05,0.0,0,200,13.505
bbbp,molecular,0.1,0.0,0,200,9.95
compas,tabular,0.02,0.0,0,200,15.9
compas,tabular,0.05,0.0,0,200,12.145
compas,tabular,0.1,0.0,0,200,7.425
imdb,text,0.02,0.0,0,200,36.93
imdb,text,0.05,0.0,0,200,35.485
imdb,text,0.1,0.0,0,200,27.025
yelp,text,0.02,0.0,0,200,40.0
yelp,text,0.05,0.0,0,200,38.755
yelp,text,0.1,0.0,0,200,30.0
