tau,true_ppv,min_n_eff,note
0.5,0.95,1.7305854229176512,margin=0.45
0.5,0.9,4.149989385878177,margin=0.40
0.5,0.85,7.6788919248902365,margin=0.35
0.5,0.8,13.116015836849545,margin=0.30
0.6,0.95,2.8607636582924436,margin=0.35
0.6,0.9,7.37775890822787,margin=0.30
0.6,0.85,15.050628172784862,margin=0.25
0.6,0.8,29.511035632911465,margin=0.20
0.7,0.95,5.607096770253189,margin=0.25
0.7,0.9,16.599957543512698,margin=0.20
0.7,0.85,41.80730047995794,margin=0.15
0.7,0.8,118.04414253164573,margin=0.10
0.8,0.95,15.575268806258874,margin=0.15
0.8,0.9,66.39983017405088,margin=0.10
0.8,0.85,376.2657043196225,margin=0.05
0.8,0.8,inf,"ppv<=tau, cannot certify"
0.9,0.95,140.17741925633007,margin=0.05
0.9,0.9,inf,"ppv<=tau, cannot certify"
0.9,0.85,inf,"ppv<=tau, cannot certify"
0.9,0.8,inf,"ppv<=tau, cannot certify"
