epsilon,n_eff_target,observed_fwer,total_false_trials,n_trials,mean_certified,total_certified
0.005,50,0.0,0,500,0.0,0
0.005,100,0.0,0,500,0.0,0
0.005,200,0.0,0,500,0.0,0
0.005,500,0.0,0,500,0.0,0
0.01,50,0.0,0,500,0.0,0
0.01,100,0.0,0,500,0.0,0
0.01,200,0.0,0,500,0.0,0
0.01,500,0.0,0,500,0.0,0
0.02,50,0.0,0,500,0.0,0
0.02,100,0.0,0,500,0.0,0
0.02,200,0.0,0,500,0.0,0
0.02,500,0.0,0,500,0.0,0
0.05,50,0.0,0,500,0.0,0
0.05,100,0.0,0,500,0.0,0
0.05,200,0.0,0,500,0.0,0
0.05,500,0.0,0,500,0.0,0
0.1,50,0.0,0,500,0.0,0
0.1,100,0.0,0,500,0.0,0
0.1,200,0.0,0,500,0.0,0
0.1,500,0.0,0,500,0.0,0
