cohort_id,tau,decision,mu_hat,var_hat,n_eff,lower_bound,p_value
C1=NC(Cc2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1,0.5,ABSTAIN,,,0.0,,1.0
C1=NC(c2cccc(-c3ccccc3)c2)SC1,0.5,ABSTAIN,,,0.0,,1.0
C1=NC(c2cccc(-c3cccnc3)c2)N2CCCCC12,0.5,ABSTAIN,,,0.0,,1.0
C1=NC(c2ccccc2)(c2cccc(-c3cccnc3)c2)CO1,0.5,ABSTAIN,,,0.0,,1.0
C1=NC(c2ccccc2)(c2cccc(-c3cccnc3)c2)N=C1,0.5,ABSTAIN,,,0.0,,1.0
C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)CC1,0.5,ABSTAIN,,,0.0,,1.0
C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)c2ccnn21,0.5,ABSTAIN,,,0.0,,1.0
C1=NC(c2ccccc2)(c2ccccc2)C2=NCCCN12,0.5,ABSTAIN,,,0.0,,1.0
C1=NC(c2ccccc2)CCS1,0.5,ABSTAIN,,,0.0,,1.0
C1=NC2(CCCc3ccc(-c4cccnc4)cc32)CS1,0.5,ABSTAIN,,,0.0,,1.0
C1=NC2(CO1)c1ccccc1Oc1ccc(-c3ccccc3)cc12,0.5,ABSTAIN,,,0.0,,1.0
C1=NC2(c3cccc(-c4ccccc4)c3)CCOCC2O1,0.5,ABSTAIN,,,0.0,,1.0
C1=[NH+]C(c2ccccc2)(c2cccc(-c3cccnc3)c2)C2=NCCN12,0.5,ABSTAIN,,,0.0,,1.0
C1=[NH+]C(c2ccccc2)(c2cccc(Cc3ccccc3)c2)C2=NCCCN12,0.5,ABSTAIN,,,0.0,,1.0
C1=[NH+][C@](c2ccccc2)(c2cccc(-c3cncnc3)c2)C2=NCCCN12,0.5,ABSTAIN,,,0.0,,1.0
N=C(NCc1ccccc1)NC(=O)Cn1ccc2ccccc21,0.5,ABSTAIN,,,0.0,,1.0
N=C1NC(=O)CC([C@@H]2C[C@H]2c2ccccc2)N1,0.5,ABSTAIN,,,0.0,,1.0
N=C1NC(=O)[C@@](CCC2CCCCC2)(CC2CCCCC2)N1,0.5,ABSTAIN,,,0.0,,1.0
N=C1NC(CCC2CCCCC2)C(=O)N1Cc1ccccc1,0.5,ABSTAIN,,,0.0,,1.0
O=C(C1C[NH2+]CC12CCCc1ncccc12)N1CCC(c2ccccc2)CC1C1CCCCC1,0.5,ABSTAIN,,,0.0,,1.0
O=C(C1C[NH2+]CC1c1ccccc1)N1CCC(c2ccccc2)CC1,0.5,ABSTAIN,,,0.0,,1.0
O=C(CCC[C@H](COCc1ccccc1)NC(=O)c1cccc(C(=O)NCc2ccccc2)c1)NCC(=O)NCc1ccccc1,0.5,ABSTAIN,,,0.0,,1.0
O=C(CCN1C=[NH+]c2ccc(C(=O)c3ccccc3)cc2C1)NC1CCCCC1,0.5,ABSTAIN,,,0.0,,1.0
O=C(CC[C@H](Cc1ccccc1)NC(=O)c1cccc(C(=O)NCc2ccccc2)c1)NCC(=O)NCC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCCC1,0.5,ABSTAIN,,,0.0,,1.0
O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCCCC1,0.5,ABSTAIN,,,0.0,,1.0
O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NCC1CCOCC1,0.5,ABSTAIN,,,0.0,,1.0
O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NCc1cccnc1,0.5,ABSTAIN,,,0.0,,1.0
O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NCc1cncs1,0.5,ABSTAIN,,,0.0,,1.0
O=C(CN1CCC(CC2CC2)C1=O)NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1,0.5,ABSTAIN,,,0.0,,1.0
O=C(CN1CCCC1=O)NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1,0.5,ABSTAIN,,,0.0,,1.0
