method,dataset,tau,n_certify,n_total,cert_rate,weight_time,bound_time
KMM,bace,0.5,1,127,0.007874015748031496,1.4884004592895508,0.014194488525390625
KMM,bace,0.6,0,127,0.0,1.4884004592895508,0.014194488525390625
KMM,bace,0.7,0,127,0.0,1.4884004592895508,0.014194488525390625
KMM,bace,0.8,0,127,0.0,1.4884004592895508,0.014194488525390625
KMM,bace,0.85,0,127,0.0,1.4884004592895508,0.014194488525390625
KMM,bace,0.9,0,127,0.0,1.4884004592895508,0.014194488525390625
uLSIF,bace,0.5,1,127,0.007874015748031496,0.08411192893981934,0.0162045955657959
uLSIF,bace,0.6,1,127,0.007874015748031496,0.08411192893981934,0.0162045955657959
uLSIF,bace,0.7,0,127,0.0,0.08411192893981934,0.0162045955657959
uLSIF,bace,0.8,0,127,0.0,0.08411192893981934,0.0162045955657959
uLSIF,bace,0.85,0,127,0.0,0.08411192893981934,0.0162045955657959
uLSIF,bace,0.9,0,127,0.0,0.08411192893981934,0.0162045955657959
KLIEP,bace,0.5,1,127,0.007874015748031496,0.12093567848205566,0.022433757781982422
KLIEP,bace,0.6,1,127,0.007874015748031496,0.12093567848205566,0.022433757781982422
KLIEP,bace,0.7,0,127,0.0,0.12093567848205566,0.022433757781982422
KLIEP,bace,0.8,0,127,0.0,0.12093567848205566,0.022433757781982422
KLIEP,bace,0.85,0,127,0.0,0.12093567848205566,0.022433757781982422
KLIEP,bace,0.9,0,127,0.0,0.12093567848205566,0.022433757781982422
