tau,true_ppv,margin,min_n_eff_for_target_power,target_power
0.5,0.55,0.05,,0.5
0.5,0.6,0.1,500.0,0.5
0.5,0.65,0.15,200.0,0.5
0.5,0.7,0.2,150.0,0.5
0.5,0.75,0.25,100.0,0.5
0.5,0.8,0.3,75.0,0.5
0.5,0.85,0.35,50.0,0.5
0.5,0.9,0.4,50.0,0.5
0.5,0.95,0.45,50.0,0.5
0.5,1.0,0.5,25.0,0.5
0.6,0.65,0.05,,0.5
0.6,0.7,0.1,500.0,0.5
0.6,0.75,0.15,200.0,0.5
0.6,0.8,0.2,100.0,0.5
0.6,0.85,0.25,75.0,0.5
0.6,0.9,0.3,50.0,0.5
0.6,0.95,0.35,50.0,0.5
0.6,1.0,0.4,25.0,0.5
0.7,0.75,0.05,,0.5
0.7,0.8,0.1,500.0,0.5
0.7,0.85,0.15,150.0,0.5
0.7,0.9,0.2,100.0,0.5
0.7,0.95,0.25,50.0,0.5
0.7,1.0,0.3,50.0,0.5
0.8,0.85,0.05,,0.5
0.8,0.9,0.1,500.0,0.5
0.8,0.95,0.15,100.0,0.5
0.8,1.0,0.2,50.0,0.5
0.9,0.95,0.05,500.0,0.5
0.9,1.0,0.1,100.0,0.5
