dataset,method,cohort_id,tau,decision,mu_hat,var_hat,n_eff,lower_bound,p_value,elapsed_sec
bace,ulsif,C1=NC(Cc2ccccc2)(c2cccc(-c3cncnc3)c2)N=C1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=NC(c2cccc(-c3ccccc3)c2)SC1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=NC(c2cccc(-c3cccnc3)c2)N2CCCCC12,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=NC(c2ccccc2)(c2cccc(-c3cccnc3)c2)CO1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=NC(c2ccccc2)(c2cccc(-c3cccnc3)c2)N=C1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)CC1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=NC(c2ccccc2)(c2cccc(-c3cncnc3)c2)c2ccnn21,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=NC(c2ccccc2)(c2ccccc2)C2=NCCCN12,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=NC(c2ccccc2)CCS1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=NC2(CCCc3ccc(-c4cccnc4)cc32)CS1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=NC2(CO1)c1ccccc1Oc1ccc(-c3ccccc3)cc12,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=NC2(c3cccc(-c4ccccc4)c3)CCOCC2O1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=[NH+]C(c2ccccc2)(c2cccc(-c3cccnc3)c2)C2=NCCN12,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=[NH+]C(c2ccccc2)(c2cccc(Cc3ccccc3)c2)C2=NCCCN12,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,C1=[NH+][C@](c2ccccc2)(c2cccc(-c3cncnc3)c2)C2=NCCCN12,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,N=C(NCc1ccccc1)NC(=O)Cn1ccc2ccccc21,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,N=C1NC(=O)CC([C@@H]2C[C@H]2c2ccccc2)N1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,N=C1NC(=O)[C@@](CCC2CCCCC2)(CC2CCCCC2)N1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,N=C1NC(CCC2CCCCC2)C(=O)N1Cc1ccccc1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(C1C[NH2+]CC12CCCc1ncccc12)N1CCC(c2ccccc2)CC1C1CCCCC1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(C1C[NH2+]CC1c1ccccc1)N1CCC(c2ccccc2)CC1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(CCC[C@H](COCc1ccccc1)NC(=O)c1cccc(C(=O)NCc2ccccc2)c1)NCC(=O)NCc1ccccc1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(CCN1C=[NH+]c2ccc(C(=O)c3ccccc3)cc2C1)NC1CCCCC1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(CC[C@H](Cc1ccccc1)NC(=O)c1cccc(C(=O)NCc2ccccc2)c1)NCC(=O)NCC(=O)N[C@H](Cc1ccccc1)C(=O)N1CCCC1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NC1CCCCC1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NCC1CCOCC1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NCc1cccnc1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(CCc1cnc2ccc(-c3ccccc3)cc2c1)NCc1cncs1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(CN1CCC(CC2CC2)C1=O)NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(CN1CCCC1=O)NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(CNC(=O)c1cccnc1)N[C@H](CC[NH2+]Cc1ccccc1)Cc1ccccc1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(COc1ccccc1)NC1CC[NH+](Cc2ccccc2)CC1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(C[NH2+]CCC(Cc1ccccc1)NC(=O)c1cccc(NS(=O)(=O)Cc2ccccc2)c1)NC1CCCCC1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(C[NH2+]CCC(Cc1ccccc1)NC(=O)c1cccc(Nc2ccccc2)c1)NC1CCCCC1,0.5,ABSTAIN,1.0,0.0,5.984540600823707,0.0,0.6873108170742943,0.05851483345031738
bace,ulsif,O=C(C[NH2+]CC[C@H](Cc1ccccc1)NC(=O)c1cccc(N2CCCC2=O)c1)NC1CCCCC1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(CCNS(=O)(=O)c1ccccc1)Cc1ccccc1)c1c[nH]c2ncccc12,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(CC[NH2+]C1CC1)Cc1ccccc1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(CC[NH2+]C1CC1)Cc1ccccc1)c1ccc2c(c1)NS(=O)(=O)CCC2,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(CC[NH2+]C1CCOCC1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(CC[NH2+]C1CCOCC1)Cc1ccccc1)c1ccc2c(c1)NS(=O)(=O)CCC2,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)C1=CC2NS(=O)(=O)CC[NH+]3CCNC(=C1)C23,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc(N2CCCC2=O)c2cn[nH]c2c1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cc2c3c(ccn3CCS(=O)(=O)N2)c1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cccc(N2c3ccccc3OS2(=O)=O)c1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(CC[NH2+]Cc1ccccc1)Cc1ccccc1)c1cccc(Sc2ccccc2)c1,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(Cc1ccccc1)C(=O)C[NH2+]C1CCOCC1)c1cc2c3c(c[nH]c3c1)CCS(=O)(=O)N2,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(Cc1ccccc1)CC1CC(OCc2cccnc2)C[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
bace,ulsif,O=C(NC(Cc1ccccc1)CC1Cc2ccccc2C[NH2+]1)C(CCc1ccccc1)N1CCCC1=O,0.5,ABSTAIN,,,0.0,,1.0,0.05851483345031738
